position,pro_diff_pct
1,10.34482759
2,16.70190275
3,20.27972028
4,39.12133891
1,3.7470726
2,14.38848921
3,56.19047619
4,47.07602339
1,3.267973856
2,3.745318352
3,3.50877193
4,3.457446809
1,6.352459016
2,14.49704142
3,15.36231884
4,11.66253102
1,2.424242424
2,2.777777778
3,14.82213439
4,23.56979405
1,1.452784504
2,0.0
3,0.0
4,2.144772118
1,0.421940928
2,16.66666667
3,10.88435374
4,3.608247423
1,1.128668172
2,1.797752809
3,3.547297297
4,2.564102564
1,6.387665198
2,8.282828283
3,17.22113503
4,15.261959
1,6.401384083
2,9.417040359
3,13.35012594
4,19.79695431
1,5.612244898
2,11.20218579
3,8.666666667
4,11.30434783
1,2.105263158
2,7.179487179
3,13.87434555
4,17.12802768
1,1.030927835
2,4.962779156
3,22.50396197
4,19.63993453
1,9.87654321
2,7.291666667
3,18.93764434
4,21.37681159
1,4.475308642
2,8.333333333
3,11.83970856
4,10.38461538
1,6.575342466
2,8.595387841
3,8.858267717
4,7.368421053
