series,model,rmse_normalized_total,rmse_normalized_prey,rmse_normalized_predator,rmse_raw_total,rmse_raw_prey,rmse_raw_predator,optimization_status,usable_for_comparison,success,termination_reason,objective_value,parameter_bound_hits,source_file,detection_method,confidence,time_col,prey_col,predator_col,group_key,K,a,c,d,delta,e,k,m,m0,mu,p,phi,q,r,theta,u0,u_scale,v0,v_scale,x0,y0
andren_lynx_roedeer_data_2,fear_memory,0.1236508080926924,0.11351445253372187,0.13301696790229844,6.703376077639731,9.478362661812433,0.17647358925678067,usable_limit,True,False,Maximum number of iterations has been exceeded.,0.7338970724148406,,D:\code\USTC_MM_26_animalfear\data\raw\01_lynx_roe_deer\Andren_lynx_roedeer_data.csv,lynx_roe_by_region,0.92,year,roe_deer_harvest_mean,lynx_family_groups,2,44.33302074545799,0.01938227664996148,,,1.0,0.51,,,1.2023217247097844,0.4,,0.1865111310146472,,2.688218336554184,6.759131690191647e-07,,,,,83.49917081260365,1.2023217247097844
andren_lynx_roedeer_data_2,bda_fear,0.1022641348411631,0.07400608030382694,0.12425379924850065,4.371082919094043,6.179446340460507,0.16484749485704894,usable_limit,True,False,Maximum number of iterations has been exceeded.,0.5019817571909564,,D:\code\USTC_MM_26_animalfear\data\raw\01_lynx_roe_deer\Andren_lynx_roedeer_data.csv,lynx_roe_by_region,0.92,year,roe_deer_harvest_mean,lynx_family_groups,2,,0.6552119245148338,0.2763845593647259,0.12144856895291069,,,0.015807117016863458,0.10050443672066095,,,1.1173691659343357,,0.25407611522191775,0.7553443302912184,,1.0,83.49917081260365,0.90625,1.3266998341625207,,
andren_lynx_roedeer_data_3,baseline,0.19352474978710468,0.19585481353367856,0.19116628776018785,38.239111237383696,54.077359457140915,0.3137683750471169,usable_limit,True,False,"STOP: TOTAL NO. OF F,G EVALUATIONS EXCEEDS LIMIT",1.7976877814477508,K,D:\code\USTC_MM_26_animalfear\data\raw\01_lynx_roe_deer\Andren_lynx_roedeer_data.csv,lynx_roe_by_region,0.92,year,roe_deer_harvest_mean,lynx_family_groups,3,138.05471124620064,0.0366695532920519,,,,0.51,,,,0.4,,,,0.39505808788605884,0.042779210304337754,,,,,276.1094224924012,1.033434650455927
andren_lynx_roedeer_data_3,fear_memory,0.14465793984209158,0.14357856831427795,0.1457293170214511,28.032624078019374,39.643395579541064,0.2391909762662115,usable_limit,True,False,Maximum number of iterations has been exceeded.,1.004444138849193,,D:\code\USTC_MM_26_animalfear\data\raw\01_lynx_roe_deer\Andren_lynx_roedeer_data.csv,lynx_roe_by_region,0.92,year,roe_deer_harvest_mean,lynx_family_groups,3,145.21907914998326,0.005432411966226899,,,1.0,0.51,,,1.033434650455927,0.4,,0.1767375710558878,,0.3396108022157673,1.5133511527685865e-06,,,,,276.1094224924012,1.033434650455927
andren_lynx_roedeer_data_3,bda_fear,0.12209095978936979,0.08565130069882203,0.14992084449194848,16.723366227498623,23.649131171674753,0.24607068700806128,usable_limit,True,False,Maximum number of iterations has been exceeded.,0.7154977181898966,,D:\code\USTC_MM_26_animalfear\data\raw\01_lynx_roe_deer\Andren_lynx_roedeer_data.csv,lynx_roe_by_region,0.92,year,roe_deer_harvest_mean,lynx_family_groups,3,,0.2370956664372029,0.34884172156432564,1.0839002981693462,,,0.002056908082119963,0.1019077502359492,,,1.176738155165624,,0.013486799777300055,1.511415538929359,,1.0,276.1094224924012,0.6296296296296297,1.6413373860182372,,
andren_lynx_roedeer_data_4,baseline,5.300822119633198,0.23051743913593625,7.492949485899354,105.12879439739731,146.0074460014635,28.034845015269692,success,True,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1292.5408966236591,K,D:\code\USTC_MM_26_animalfear\data\raw\01_lynx_roe_deer\Andren_lynx_roedeer_data.csv,lynx_roe_by_region,0.92,year,roe_deer_harvest_mean,lynx_family_groups,4,316.6950113378686,0.0998165234169477,,,,0.51,,,,0.4,,,,0.5673403692134624,0.021096478526739716,,,,,633.390022675737,1.7006802721088434
andren_lynx_roedeer_data_4,fear_memory,0.10118454002390236,0.12631972324708307,0.06723057190354502,56.57564735168785,80.00965237186276,0.251542956101699,usable_limit,True,False,Maximum number of iterations has been exceeded.,0.47096231243304004,,D:\code\USTC_MM_26_animalfear\data\raw\01_lynx_roe_deer\Andren_lynx_roedeer_data.csv,lynx_roe_by_region,0.92,year,roe_deer_harvest_mean,lynx_family_groups,4,318.7741192712283,0.002913422547812341,,,1.0,0.51,,,1.7006802721088434,0.4,,0.18691864132296815,,0.29970440905349865,5.765949049689116e-05,,,,,633.390022675737,1.7006802721088434
andren_lynx_roedeer_data_4,bda_fear,0.0541437205137493,0.036707160876163505,0.0671987297688985,16.44115816808535,23.249949459715125,0.2514238188632256,usable_limit,True,False,Maximum number of iterations has been exceeded.,0.13485095366926592,,D:\code\USTC_MM_26_animalfear\data\raw\01_lynx_roe_deer\Andren_lynx_roedeer_data.csv,lynx_roe_by_region,0.92,year,roe_deer_harvest_mean,lynx_family_groups,4,,0.3821354354249806,1.968669738736218,0.06934092082493519,,,0.00043605969784964605,0.29347492815241755,,,0.6671681472007347,,0.00453907975811765,0.30900311802670594,,1.0,633.390022675737,0.45454545454545453,3.7414965986394555,,
andren_lynx_roedeer_data_5,baseline,0.39970382522544207,0.28278336749171384,0.489448529336587,286.0543296687857,404.5382130616924,1.7300917228545263,success,True,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,7.349104803393133,K,D:\code\USTC_MM_26_animalfear\data\raw\01_lynx_roe_deer\Andren_lynx_roedeer_data.csv,lynx_roe_by_region,0.92,year,roe_deer_harvest_mean,lynx_family_groups,5,715.2793614595214,1.3007070059790986e-05,,,,0.51,,,,0.4,,,,0.6664250479341692,0.8849405373510011,,,,,1430.5587229190423,0.6271379703534778
andren_lynx_roedeer_data_5,fear_memory,0.1381397045218317,0.14050424820480098,0.1357339757288558,142.1285694440894,200.99957787656024,0.4797894238990342,usable_limit,True,False,Maximum number of iterations has been exceeded.,0.8777985864074325,,D:\code\USTC_MM_26_animalfear\data\raw\01_lynx_roe_deer\Andren_lynx_roedeer_data.csv,lynx_roe_by_region,0.92,year,roe_deer_harvest_mean,lynx_family_groups,5,766.4315334598011,0.0013883469852514457,,,1.0,0.51,,,0.6271379703534778,0.4,,0.19298806671196808,,0.21300328405242308,4.0371590160725744e-10,,,,,1430.5587229190423,0.6271379703534778
