date,no.,site,day,assay,fullrep,position,iweight,fweight,diff,diff.con,pro.diff,diffcronin,percronin,procronin,gcronin,gsubtract
30/09/2016,40,ks,4,1,ks_4_1,4,38.8,34.2,4.6,1.4,3.608247423,2.354792043,6.069051658,0.060690517,2.35479206,1.4
30/09/2016,41,ks,4,1,ks_4_1,c,55.3,52.1,3.2,,5.786618445,0,0,0,0,0
30/09/2016,42,ks,4,1,ks_4_1,p,35.1,27.4,7.7,4.5,12.82051282,5.668896926,16.15070349,0.161507035,5.668896929,4.5
30/09/2016,43,ks,4,2,ks_4_2,1,44.3,43.6,0.7,0.5,1.128668172,0.499547511,1.127646752,0.011276468,0.499547532,0.5
30/09/2016,44,ks,4,2,ks_4_2,2,44.5,43.5,1,0.8,1.797752809,0.798642534,1.794702323,0.017947023,0.798642524,0.8
30/09/2016,45,ks,4,2,ks_4_2,3,59.2,56.9,2.3,2.1,3.547297297,2.032126697,3.432646447,0.034326464,2.032126669,2.1
30/09/2016,46,ks,4,2,ks_4_2,4,31.2,30.2,1,0.8,2.564102564,0.858823529,2.752639517,0.027526395,0.858823524,0.8
30/09/2016,47,ks,4,2,ks_4_2,c,44.2,44,0.2,,0.452488688,0,0,0,0,0
30/09/2016,48,ks,4,2,ks_4_2,p,43.5,39.2,4.3,4.1,9.425287356,4.103167421,9.432568783,0.094325688,4.103167428,4.1
3/10/2016,49,rl,5,1,rl_5_1,1,45.4,40.5,4.9,2.9,6.387665198,2.547668394,5.611604392,0.056116044,2.547668398,2.9
3/10/2016,50,rl,5,1,rl_5_1,2,49.5,43.4,6.1,4.1,8.282828283,3.535233161,7.141885173,0.071418852,3.535233174,4.1
3/10/2016,51,rl,5,1,rl_5_1,3,51.1,40.3,10.8,8.8,17.22113503,8.152331606,15.9536822,0.159536822,8.152331604,8.8
3/10/2016,52,rl,5,1,rl_5_1,4,43.9,35.2,8.7,6.7,15.261959,6.425388601,14.6364205,0.146364205,6.4253886,6.7
3/10/2016,53,rl,5,1,rl_5_1,c,38.6,36.6,2,,5.18134715,0,0,0,0,0
3/10/2016,54,rl,5,1,rl_5_1,p,42.8,30.3,12.5,10.5,24.53271028,10.28238342,24.02426033,0.240242603,10.28238341,10.5
3/10/2016,55,rl,5,2,rl_5_2,1,57.8,52.8,5,3.7,6.401384083,3.330222222,5.761630142,0.057616301,3.330222198,3.7
3/10/2016,56,rl,5,2,rl_5_2,2,44.6,39.1,5.5,4.2,9.417040359,4.211555556,9.442949676,0.094429497,4.211555566,4.2
3/10/2016,57,rl,5,2,rl_5_2,3,39.7,33.1,6.6,5.3,13.35012594,5.453111111,13.73579625,0.137357962,5.453111091,5.3
3/10/2016,58,rl,5,2,rl_5_2,4,39.4,30.3,9.1,7.8,19.79695431,7.961777778,20.20755781,0.202075578,7.961777773,7.8
3/10/2016,59,rl,5,2,rl_5_2,c,45,43.7,1.3,,2.888888889,0,0,0,0,0
3/10/2016,60,rl,5,2,rl_5_2,p,54.8,39.7,15.1,13.8,25.18248175,13.51688889,24.66585564,0.246658556,13.51688887,13.8
4/10/2016,61,ks,6,1,ks_6_1,1,39.2,34.5,4.7,2.2,5.612244898,2.225252525,5.676664605,0.056766646,2.225252523,2.2
4/10/2016,62,ks,6,1,ks_6_1,2,36.6,30,6.6,4.1,11.20218579,4.289393939,11.71965557,0.117196556,4.28939395,4.1
4/10/2016,63,ks,6,1,ks_6_1,3,45,38.6,6.4,3.9,8.666666667,3.559090909,7.909090909,0.079090909,3.559090905,3.9
4/10/2016,64,ks,6,1,ks_6_1,4,46,38.3,7.7,5.2,11.30434783,4.795959596,10.42599912,0.104259991,4.795959586,5.2
4/10/2016,65,ks,6,1,ks_6_1,c,39.6,37.1,2.5,,6.313131313,0,0,0,0,0
4/10/2016,66,ks,6,1,ks_6_1,p,44.1,36.2,7.9,5.4,12.24489796,5.115909091,11.60070089,0.116007009,5.115909097,5.4
4/10/2016,67,ks,6,2,ks_6_2,1,38,36.2,1.8,0.8,2.105263158,0.772972973,2.034139403,0.020341394,0.772972972,0.8
4/10/2016,68,ks,6,2,ks_6_2,2,39,35.2,3.8,2.8,7.179487179,2.745945946,7.040887041,0.07040887,2.74594593,2.8
4/10/2016,69,ks,6,2,ks_6_2,3,38.2,31.9,6.3,5.3,13.87434555,5.267567568,13.78944389,0.137894439,5.26756757,5.3
4/10/2016,70,ks,6,2,ks_6_2,4,57.8,46.9,10.9,9.9,17.12802768,9.337837838,16.15542879,0.161554288,9.337837846,9.9
4/10/2016,71,ks,6,2,ks_6_2,c,37,36,1,,2.702702703,0,0,0,0,0
4/10/2016,72,ks,6,2,ks_6_2,p,53.9,44.8,9.1,8.1,15.02782931,7.643243243,14.18041418,0.141804142,7.643243254,8.1
5/10/2016,73,rl,7,1,rl_7_1,1,38.8,35.6,3.2,0.4,1.030927835,1.065618861,2.746440362,0.027464404,1.065618875,0.4
5/10/2016,74,rl,7,1,rl_7_1,2,40.3,35.5,4.8,2,4.962779156,2.583104126,6.409687657,0.064096877,2.583104143,2
5/10/2016,75,rl,7,1,rl_7_1,3,63.1,46.1,17,14.2,22.50396197,13.52888016,21.4403806,0.214403806,13.52888016,14.2
5/10/2016,76,rl,7,1,rl_7_1,4,61.1,46.3,14.8,12,19.63993453,11.4388998,18.72160361,0.187216036,11.4388998,12
5/10/2016,77,rl,7,1,rl_7_1,c,50.9,48.1,2.8,,5.500982318,0,0,0,0,0
5/10/2016,78,rl,7,1,rl_7_1,p,54.4,42.6,11.8,9,16.54411765,8.807465619,16.19019415,0.161901942,8.807465645,9
5/10/2016,79,rl,7,2,rl_7_2,1,40.5,34.2,6.3,4,9.87654321,4.6828125,11.5625,0.115625,4.6828125,4
5/10/2016,80,rl,7,2,rl_7_2,2,57.6,51.1,6.5,4.2,7.291666667,4.2,7.291666667,0.072916667,4.200000019,4.2
5/10/2016,81,rl,7,2,rl_7_2,3,43.3,32.8,10.5,8.2,18.93764434,8.771006944,20.25636708,0.202563671,8.771006954,8.2
5/10/2016,82,rl,7,2,rl_7_2,4,55.2,41.1,14.1,11.8,21.37681159,11.89583333,21.55042271,0.215504227,11.89583333,11.8
5/10/2016,83,rl,7,2,rl_7_2,c,57.6,55.3,2.3,,3.993055556,0,0,0,0,0
