series,m0,m0_over_y0,rmse_normalized_prey,rmse_normalized_predator,rmse_normalized_total,validation_rmse_normalized_prey,validation_rmse_normalized_predator,validation_rmse_normalized_total,profile_rss,profile_likelihood_ratio,inside_confidence_interval,confidence_level,likelihood_ratio_threshold,optimization_status,r,K,a,theta,e,mu,phi,delta
andren_lynx_roedeer_data_1,0.0,0.0,0.051957894984081245,0.0640827695683076,0.05833619891080333,0.09208086628571296,0.03370253642957619,0.06933522516626833,0.12931825992771084,0.003147426815799703,True,0.95,3.841458820694124,success,0.838601146994177,153.3505910797326,0.06929240773814443,3.0956822079560014e-06,0.01970906777282084,0.1814068476641693,0.2,1.0
andren_lynx_roedeer_data_1,1.0256410256410258,0.25,0.05144330949381821,0.06449221967890505,0.05833378305402845,0.09064289059974924,0.03390993840894988,0.06843251251845457,0.12930754932498933,0.0,True,0.95,3.841458820694124,usable_limit,0.770942333542515,154.34352346727064,0.06154527235046362,3.125845529803022e-06,0.023136226781500794,0.18567726111362326,0.2,1.0
andren_lynx_roedeer_data_1,2.0512820512820515,0.5,0.05143130688097289,0.06494935142102326,0.05858155672861718,0.09120130813451144,0.034621365884103056,0.06897940845327334,0.13040835397243133,0.32212757530551844,True,0.95,3.841458820694124,success,0.7194305509268084,154.583906801947,0.0554638365286201,3.1184877766056574e-06,0.026790675347705014,0.18995065776543382,0.2,1.0
andren_lynx_roedeer_data_1,3.0769230769230775,0.75,0.05191639966863934,0.06535955397329729,0.05902196137939782,0.08916218067361129,0.03536305095183738,0.06782492106554916,0.13237649315270286,0.8913437086421242,True,0.95,3.841458820694124,success,0.6671866096054443,155.43149510566352,0.04968846690654402,3.109154467955258e-06,0.030692672982273794,0.19299536334345202,0.2,1.0
andren_lynx_roedeer_data_1,4.102564102564103,1.0,0.05284998268389307,0.06565419963882019,0.05959695713667709,0.08494654997691876,0.03590770506638135,0.0652122673893317,0.1349682973981352,1.6281573701090715,True,0.95,3.841458820694124,success,0.6161212737340466,157.12865608365178,0.04870699756509003,3.1017789968473562e-06,0.031735397323435895,0.19486063728899775,0.19474009729438338,1.0
andren_lynx_roedeer_data_1,6.153846153846155,1.5,0.05426114044072059,0.06640234309116858,0.060636385652200885,0.08856620569103867,0.0401955684442747,0.0687737468554162,0.13971730806857247,2.9422443519970294,True,0.95,3.841458820694124,usable_limit,0.5573517867300907,158.217308040173,0.08012707922755044,3.005379078002348e-06,0.021148450966939247,0.20547068769049295,0.13281794725487117,1.0
andren_lynx_roedeer_data_1,8.205128205128206,2.0,0.053911630203251446,0.06597633533999664,0.060246745538941035,0.08752898336589307,0.037812609619947805,0.06742075487317446,0.13792747322528864,2.4523041780384034,True,0.95,3.841458820694124,usable_limit,0.5604975031893366,161.1538543631866,0.16489414229709126,3.0015841272543177e-06,0.010000000000000004,0.20261384183700812,0.0031395567585745282,1.0
andren_lynx_roedeer_data_1,12.30769230769231,3.0,0.054258767143970835,0.06604951025965408,0.06044233457405413,0.08583516350589229,0.038252019579841305,0.06644882352615368,0.13882448073295217,2.698635986484901,True,0.95,3.841458820694124,success,0.5569008088517876,162.0077646141071,0.15774942611981335,3.45673814329489e-06,0.010227665874797188,0.1989374903238815,0.013807810908147112,1.0
andren_lynx_roedeer_data_1,20.512820512820515,5.0,0.05395368283833611,0.06594558117270688,0.06024873263408051,0.08769718109100844,0.03781557068879807,0.06753078171407692,0.13793657179249086,2.454810815348004,True,0.95,3.841458820694124,usable_limit,0.5588869110630367,161.10218287237186,0.1659476120015734,3.209049224932629e-06,0.010000000000000004,0.2036434247247047,0.000475594360300753,1.0
andren_lynx_roedeer_data_2,0.0,0.0,0.05660026581655988,0.13195089789470107,0.1015249465543397,0.07579628711340168,0.10167041890242995,0.08967148716278996,0.3916779613687383,0.8359880731287812,True,0.95,3.841458820694124,success,0.6809701547307098,55.15383883503324,0.2523865499193289,9.986986642450875e-10,0.010000000000000004,0.1123911825828484,0.2,1.0
