series,k,rmse_normalized_prey,rmse_normalized_predator,rmse_normalized_total,profile_rss,profile_likelihood_ratio,inside_confidence_interval,confidence_level,likelihood_ratio_threshold,optimization_status,r,d,a,p,q,c,m
lynxhare,0.0001,0.17278119151909113,0.22123669359508114,0.19849309148637978,3.7823527073107517,4.727643079945967,False,0.95,3.841458820694124,usable_limit,1.0735839388775907,0.1601802254940191,0.827540697767903,4.999999999999999,0.4178986722717385,0.32985758890961125,0.3042710033611394
lynxhare,0.0001333521432163324,0.16777975919061833,0.22492603829998734,0.19842097961076247,3.7796049743706828,4.657877449150417,False,0.95,3.841458820694124,usable_limit,1.0599078154101198,0.16769389203536347,0.8144266902146804,4.999999999999999,0.5175538753631711,0.3965774223540945,0.3605405343790816
lynxhare,0.00017782794100389227,0.18199106579601693,0.21695851579454442,0.200239538559873,3.849203789056403,6.409572057679544,False,0.95,3.841458820694124,success,1.038906575682786,0.15862929535166992,0.6890987646001107,4.999999999999999,0.020451250978823728,0.24881284313575458,0.26337577327147066
lynxhare,0.00023713737056616554,0.18257977992224,0.21634447926411068,0.20017531034634717,3.8467348677366147,6.347976853923208,False,0.95,3.841458820694124,usable_limit,1.0487876290086435,0.15770956033755174,0.6900228618115589,4.999999999999999,0.021948379762109095,0.23612168894543228,0.2497440884890672
lynxhare,0.00031622776601683794,0.16996267446410485,0.22320285984262161,0.19837694845031298,3.777927712939981,4.615266426041952,False,0.95,3.841458820694124,usable_limit,1.044750281570933,0.14162252149934973,0.8203454988845468,4.999999999999999,0.4709848764127766,0.36139097233387235,0.33107565861987226
lynxhare,0.00042169650342858224,0.17029491081895357,0.22294537642223314,0.19837464243053668,3.7778398809065554,4.613034521710738,False,0.95,3.841458820694124,usable_limit,1.0665024073709142,0.16114635497138752,0.8227806201068417,4.999999999999999,0.4647552097763604,0.35748318999579737,0.3278590354110805
lynxhare,0.0005623413251903491,0.1728161304098351,0.2212020855206059,0.19848901426589657,3.7821973232877397,4.723699192695322,False,0.95,3.841458820694124,usable_limit,1.0949352292466878,0.18139940308163344,0.828854376853168,4.999999999999999,0.42036034120849397,0.3304039053838384,0.30474303259110597
lynxhare,0.0007498942093324559,0.1747873826893428,0.21991204708932713,0.1986352657541067,3.7877730049156413,4.865117325096704,False,0.95,3.841458820694124,usable_limit,1.0733576541224708,0.1591764357764834,0.8171480878339876,4.999999999999999,0.35228454484142696,0.3082950349448783,0.28830218922614725
lynxhare,0.001,0.1820242156678484,0.2169242043443942,0.2002360176391149,3.8490684249573053,6.406195987529409,False,0.95,3.841458820694124,usable_limit,1.0394223256865336,0.15852403877742682,0.6900738534934607,4.999999999999999,0.020471649925516824,0.24847239857460435,0.26269643816256116
lynxhare,0.001333521432163324,0.18208412636167617,0.21686054875568392,0.20022877750152598,3.848790080616537,6.399253522503315,False,0.95,3.841458820694124,usable_limit,1.0446875486364893,0.15815791631274154,0.6863136057197566,4.999999999999999,0.02049255590913476,0.2423092570705389,0.25640157186281715
lynxhare,0.0017782794100389228,0.181568351925544,0.21730691327295834,0.2002365613183307,3.849089326904603,6.4067173036690095,False,0.95,3.841458820694124,success,1.0398405184814679,0.1585539322791058,0.6803708587597639,4.999999999999999,0.020503063862948045,0.24707098466419103,0.2615965150689006
lynxhare,0.0023713737056616554,0.17026115050843282,0.22294410566579584,0.19835943842375733,3.777260813931684,4.59831852203266,False,0.95,3.841458820694124,usable_limit,1.0600215512428575,0.15565472804897715,0.821704300254222,4.999999999999999,0.46479338801415515,0.3581888040408557,0.3286151342896116
lynxhare,0.0031622776601683794,0.1815054782334479,0.21734747621153058,0.20023007272169993,3.8488398741251757,6.400495509155688,False,0.95,3.841458820694124,success,1.0395966314588414,0.1585417989308273,0.6791765541369847,4.999999999999999,0.020517901013090433,0.24698401931915145,0.2614516711585078
lynxhare,0.004216965034285823,0.1701359391952949,0.22300748482717586,0.19834134225472025,3.776571652550791,4.580801720318342,False,0.95,3.841458820694124,usable_limit,1.0802639771300038,0.17468796922093496,0.8223305348533019,4.999999999999999,0.46807475363940576,0.357689299774393,0.3276091094915991
lynxhare,0.005623413251903491,0.1728304474896262,0.22111464586214669,0.19844652956679157,3.780578409321934,4.68259900710577,False,0.95,3.841458820694124,usable_limit,1.0760692762344664,0.16338075406951139,0.8264373367699432,4.999999999999999,0.4148817738017065,0.3294562511907866,0.30434841521400874
lynxhare,0.007498942093324558,0.18162776485056556,0.21721042059890527,0.20021115326245648,3.8481125655055526,6.382352840810187,False,0.95,3.841458820694124,success,1.0398235714375723,0.15828728329923764,0.6806759065836566,4.999999999999999,0.020495426542546363,0.24615238346076831,0.2603972170675995
lynxhare,0.01,0.18156455212867456,0.21724067210774015,0.20019889635998103,3.8476414179604252,6.370598264329223,False,0.95,3.841458820694124,usable_limit,1.040029705497753,0.1587757300275868,0.6807370657519984,4.999999999999999,0.02059949029452016,0.24716205051671336,0.2618918319248101
lynxhare,0.01333521432163324,0.17316282558983298,0.2207777846200352,0.19840387388857303,3.778953328703308,4.641324561227982,False,0.95,3.841458820694124,usable_limit,1.1033135486191563,0.1875152419501264,0.838891686189917,4.999999999999999,0.431576539714758,0.3319283150882248,0.30561441327565864
lynxhare,0.01778279410038923,0.17018205867260977,0.22292530412911288,0.1983149317564175,3.7755659671250434,4.555233912551985,False,0.95,3.841458820694124,usable_limit,1.0833133250863305,0.17974399785794906,0.8078081330238528,4.999999999999999,0.43047979479127124,0.3444254123337185,0.3134116675611731
lynxhare,0.023713737056616554,0.1697681222631501,0.2229821509574883,0.19816944136569595,3.7700282391544326,4.4143246703925545,False,0.95,3.841458820694124,usable_limit,1.0925879054179937,0.18472904477261398,0.8258053557049702,4.999999999999999,0.482798419081091,0.359531544979145,0.32796501329317546
lynxhare,0.03162277660168379,0.17211723824370048,0.22144336263848158,0.19831982573267457,3.775752314749287,4.559971991722595,False,0.95,3.841458820694124,usable_limit,1.1460616037667868,0.22710325130650502,0.8382422233959961,4.999999999999999,0.44428678189686704,0.33125244095360024,0.2985990302640857
lynxhare,0.042169650342858224,0.17282315552326571,0.22062504692545937,0.1981707021936896,3.770076211962241,4.415546242210164,False,0.95,3.841458820694124,usable_limit,1.1543600804541665,0.24044431443029105,0.8207999622950874,4.999999999999999,0.4109685067030916,0.32915565868782876,0.3096737548578899
lynxhare,0.05623413251903491,0.17321348490691935,0.22024593983838098,0.19813024172105997,3.768536897706783,4.376341638278922,False,0.95,3.841458820694124,usable_limit,1.2100074222513866,0.2857788591488846,0.8316231063129873,4.999999999999999,0.4043022608970081,0.31891291939521693,0.29539176292493147
lynxhare,0.07498942093324558,0.18109973238098523,0.2171295553042725,0.19992793308476883,3.8372331290445896,6.110555932923127,False,0.95,3.841458820694124,success,1.0402385514255206,0.15840435180274298,0.6740142976830114,4.999999999999999,0.020517691666567292,0.24510638484158365,0.2598149044655726
lynxhare,0.1,0.17296167393792486,0.21974106614963967,0.19773957217005067,3.753690086591489,3.9973858527554076,False,0.95,3.841458820694124,usable_limit,1.2742136789855265,0.35414032893554953,0.8207912397986445,4.999999999999999,0.41576655411743246,0.3144338108819732,0.29114965832404266
lynxhare,0.12,0.1808023462714756,0.21706886007490442,0.19976032943441122,3.830802164711472,5.949530925323277,False,0.95,3.841458820694124,success,1.0410117466636049,0.15924286839248794,0.6706868778975672,4.999999999999999,0.020572574418667732,0.24459158429560413,0.25907335823794475
lynxhare,0.15166666666666667,0.1644552931421463,0.2247482727377927,0.19692299198048271,3.7227518179723447,3.202866005324272,True,0.95,3.841458820694124,usable_limit,1.2766372134517576,0.36394841183247745,0.8384842311052403,4.999999999999999,0.6518523309313223,0.40804351645227827,0.3576711553628988
lynxhare,0.18333333333333335,0.18351124089224743,0.21357934098121847,0.19911367410073078,3.8060405005336344,5.326988810565568,False,0.95,3.841458820694124,usable_limit,1.2075643469792545,0.29305434944312625,0.7277213312905081,4.999999999999999,0.08673336644595116,0.21928241649178973,0.22083344118767995
lynxhare,0.215,0.18291484208543654,0.21390318576368386,0.19901308039296464,3.802195792079674,5.2299644730443875,False,0.95,3.841458820694124,usable_limit,1.1920125725221327,0.28011509926697703,0.7176418740583126,4.999999999999999,0.0559301547939736,0.22134611443745641,0.22682480858871704
lynxhare,0.24666666666666667,0.17167517895565135,0.21805667750116042,0.19624102740291083,3.6970119202704,2.5367962545090137,True,0.95,3.841458820694124,usable_limit,1.6826030617005352,0.7624868652977809,0.846480086802615,4.999999999999999,0.4844429064226614,0.33292805280915166,0.3015538376848881
lynxhare,0.2783333333333333,0.18039144187384704,0.21650053932520333,0.19926559641522346,3.811850679812612,5.473427583641391,False,0.95,3.841458820694124,usable_limit,1.0437333288942876,0.15850598660616974,0.6666166446265704,4.999999999999999,0.020484177322194472,0.241176342242411,0.25648380873966053
lynxhare,0.31,0.15834895042272903,0.22490663136452152,0.194495993444231,3.6315543807224007,0.8218384709268953,True,0.95,3.841458820694124,usable_limit,1.934564723573363,1.0175742567424175,0.8179353366820429,4.999999999999999,0.8362397785410342,0.44490165208974536,0.37805989420574526
lynxhare,0.3416666666666667,0.18201966466698713,0.2145150840201328,0.1989319979259836,3.7990982206870605,5.151723355242126,False,0.95,3.841458820694124,usable_limit,1.0785213504706626,0.1739897420493622,0.6901925532832784,4.999999999999999,0.024156948648091568,0.22399640739315654,0.2361943742076057
lynxhare,0.37333333333333335,0.16151455285720254,0.22237518100482292,0.1943420591529145,3.625808251756312,0.6698194734066507,True,0.95,3.841458820694124,usable_limit,1.9539300918069569,1.0479238192228606,0.7680505074595856,4.999999999999999,0.5734717717252839,0.3747937975956868,0.33066078566987456
lynxhare,0.405,0.18304678541532587,0.2128678773769759,0.1985180833952711,3.7833052257534545,4.751815933593761,False,0.95,3.841458820694124,usable_limit,1.2141989148443422,0.2956868570866786,0.7182670834750721,4.999999999999999,0.05100019190997094,0.21600677311396776,0.22430472197208373
lynxhare,0.4366666666666667,0.16212730314652452,0.22074237460203053,0.19366525032967094,3.6005980017843946,0.0,True,0.95,3.841458820694124,usable_limit,2.1012594925913577,1.1618993979279713,0.7936675790631862,4.999999999999999,0.6989702192269317,0.35503591388498634,0.30895804249912734
lynxhare,0.4683333333333334,0.18251514971052804,0.21338841779801915,0.19855275964362526,3.7846270427615254,4.785350703610958,False,0.95,3.841458820694124,usable_limit,1.1483125386574689,0.23828094034329533,0.6988828014787013,4.999999999999999,0.041028360787234534,0.21885675665408208,0.23366116261710188
lynxhare,0.5,0.1812296761832929,0.2129541930174909,0.19772921363980586,3.7532968249551346,3.9873277248888193,False,0.95,3.841458820694124,usable_limit,1.4313321697951717,0.5023654100105278,0.7127385193046291,4.999999999999999,0.10982917066883381,0.21368888032138353,0.21609108480640968
glerl_m110_zoop_1994-201,0.0001,0.15734299437017557,0.1715301720906812,0.16458951639583824,7.585118494076454,0.0,True,0.95,3.841458820694124,success,0.369223774784169,0.0798411187288086,0.005618778798128722,0.6286158991490101,0.2179576784107185,1.4825312495817657,0.14209753714683163
glerl_m110_zoop_1994-201,0.0001333521432163324,0.15734299437017557,0.1715301720906812,0.16458951639583824,7.585118494076454,0.0,True,0.95,3.841458820694124,success,0.369223774784169,0.0798411187288086,0.005618778798128722,0.6286158991490101,0.2179576784107185,1.4825312495817657,0.14209753714683163
glerl_m110_zoop_1994-201,0.00017782794100389227,0.15734299437017557,0.1715301720906812,0.16458951639583824,7.585118494076454,0.0,True,0.95,3.841458820694124,success,0.369223774784169,0.0798411187288086,0.005618778798128722,0.6286158991490101,0.2179576784107185,1.4825312495817657,0.14209753714683163
glerl_m110_zoop_1994-201,0.00023713737056616554,0.15734299437017557,0.1715301720906812,0.16458951639583824,7.585118494076454,0.0,True,0.95,3.841458820694124,success,0.369223774784169,0.0798411187288086,0.005618778798128722,0.6286158991490101,0.2179576784107185,1.4825312495817657,0.14209753714683163
glerl_m110_zoop_1994-201,0.00031622776601683794,0.15734299437017557,0.1715301720906812,0.16458951639583824,7.585118494076454,0.0,True,0.95,3.841458820694124,success,0.369223774784169,0.0798411187288086,0.005618778798128722,0.6286158991490101,0.2179576784107185,1.4825312495817657,0.14209753714683163
glerl_m110_zoop_1994-201,0.00042169650342858224,0.15734299437017557,0.1715301720906812,0.16458951639583824,7.585118494076454,0.0,True,0.95,3.841458820694124,success,0.369223774784169,0.0798411187288086,0.005618778798128722,0.6286158991490101,0.2179576784107185,1.4825312495817657,0.14209753714683163
glerl_m110_zoop_1994-201,0.0005623413251903491,0.15734299437017557,0.1715301720906812,0.16458951639583824,7.585118494076454,0.0,True,0.95,3.841458820694124,success,0.369223774784169,0.0798411187288086,0.005618778798128722,0.6286158991490101,0.2179576784107185,1.4825312495817657,0.14209753714683163
glerl_m110_zoop_1994-201,0.0007498942093324559,0.15734299437017557,0.1715301720906812,0.16458951639583824,7.585118494076454,0.0,True,0.95,3.841458820694124,success,0.369223774784169,0.0798411187288086,0.005618778798128722,0.6286158991490101,0.2179576784107185,1.4825312495817657,0.14209753714683163
glerl_m110_zoop_1994-201,0.001,0.15734299437017557,0.1715301720906812,0.16458951639583824,7.585118494076454,0.0,True,0.95,3.841458820694124,success,0.369223774784169,0.0798411187288086,0.005618778798128722,0.6286158991490101,0.2179576784107185,1.4825312495817657,0.14209753714683163
glerl_m110_zoop_1994-201,0.001333521432163324,0.15734299437017557,0.1715301720906812,0.16458951639583824,7.585118494076454,0.0,True,0.95,3.841458820694124,success,0.369223774784169,0.0798411187288086,0.005618778798128722,0.6286158991490101,0.2179576784107185,1.4825312495817657,0.14209753714683163
glerl_m110_zoop_1994-201,0.0017782794100389228,0.15734299437017557,0.1715301720906812,0.16458951639583824,7.585118494076454,0.0,True,0.95,3.841458820694124,success,0.369223774784169,0.0798411187288086,0.005618778798128722,0.6286158991490101,0.2179576784107185,1.4825312495817657,0.14209753714683163
glerl_m110_zoop_1994-201,0.0023713737056616554,0.15734299437017557,0.1715301720906812,0.16458951639583824,7.585118494076454,0.0,True,0.95,3.841458820694124,success,0.369223774784169,0.0798411187288086,0.005618778798128722,0.6286158991490101,0.2179576784107185,1.4825312495817657,0.14209753714683163
glerl_m110_zoop_1994-201,0.0031622776601683794,0.15734299437017557,0.1715301720906812,0.16458951639583824,7.585118494076454,0.0,True,0.95,3.841458820694124,success,0.369223774784169,0.0798411187288086,0.005618778798128722,0.6286158991490101,0.2179576784107185,1.4825312495817657,0.14209753714683163
glerl_m110_zoop_1994-201,0.004216965034285823,0.15734299437017557,0.1715301720906812,0.16458951639583824,7.585118494076454,0.0,True,0.95,3.841458820694124,success,0.369223774784169,0.0798411187288086,0.005618778798128722,0.6286158991490101,0.2179576784107185,1.4825312495817657,0.14209753714683163
glerl_m110_zoop_1994-201,0.005623413251903491,0.15734299437017557,0.1715301720906812,0.16458951639583824,7.585118494076454,0.0,True,0.95,3.841458820694124,success,0.369223774784169,0.0798411187288086,0.005618778798128722,0.6286158991490101,0.2179576784107185,1.4825312495817657,0.14209753714683163
glerl_m110_zoop_1994-201,0.007498942093324558,0.15734299437017557,0.1715301720906812,0.16458951639583824,7.585118494076454,0.0,True,0.95,3.841458820694124,success,0.369223774784169,0.0798411187288086,0.005618778798128722,0.6286158991490101,0.2179576784107185,1.4825312495817657,0.14209753714683163
glerl_m110_zoop_1994-201,0.01,0.15734299437017557,0.1715301720906812,0.16458951639583824,7.585118494076454,0.0,True,0.95,3.841458820694124,success,0.369223774784169,0.0798411187288086,0.005618778798128722,0.6286158991490101,0.2179576784107185,1.4825312495817657,0.14209753714683163
glerl_m110_zoop_1994-201,0.01333521432163324,0.15734299437017557,0.1715301720906812,0.16458951639583824,7.585118494076454,0.0,True,0.95,3.841458820694124,success,0.369223774784169,0.0798411187288086,0.005618778798128722,0.6286158991490101,0.2179576784107185,1.4825312495817657,0.14209753714683163
glerl_m110_zoop_1994-201,0.01778279410038923,0.15734299437017557,0.1715301720906812,0.16458951639583824,7.585118494076454,0.0,True,0.95,3.841458820694124,success,0.369223774784169,0.0798411187288086,0.005618778798128722,0.6286158991490101,0.2179576784107185,1.4825312495817657,0.14209753714683163
glerl_m110_zoop_1994-201,0.023713737056616554,0.15734299437017557,0.1715301720906812,0.16458951639583824,7.585118494076454,0.0,True,0.95,3.841458820694124,success,0.369223774784169,0.0798411187288086,0.005618778798128722,0.6286158991490101,0.2179576784107185,1.4825312495817657,0.14209753714683163
glerl_m110_zoop_1994-201,0.03162277660168379,0.15734299437017557,0.1715301720906812,0.16458951639583824,7.585118494076454,0.0,True,0.95,3.841458820694124,success,0.369223774784169,0.0798411187288086,0.005618778798128722,0.6286158991490101,0.2179576784107185,1.4825312495817657,0.14209753714683163
glerl_m110_zoop_1994-201,0.042169650342858224,0.15734299437017557,0.1715301720906812,0.16458951639583824,7.585118494076454,0.0,True,0.95,3.841458820694124,success,0.369223774784169,0.0798411187288086,0.005618778798128722,0.6286158991490101,0.2179576784107185,1.4825312495817657,0.14209753714683163
glerl_m110_zoop_1994-201,0.05623413251903491,0.15734299437017557,0.1715301720906812,0.16458951639583824,7.585118494076454,0.0,True,0.95,3.841458820694124,success,0.369223774784169,0.0798411187288086,0.005618778798128722,0.6286158991490101,0.2179576784107185,1.4825312495817657,0.14209753714683163
glerl_m110_zoop_1994-201,0.07498942093324558,0.15734299437017557,0.1715301720906812,0.16458951639583824,7.585118494076454,0.0,True,0.95,3.841458820694124,success,0.369223774784169,0.0798411187288086,0.005618778798128722,0.6286158991490101,0.2179576784107185,1.4825312495817657,0.14209753714683163
glerl_m110_zoop_1994-201,0.1,0.15734299437017557,0.1715301720906812,0.16458951639583824,7.585118494076454,0.0,True,0.95,3.841458820694124,success,0.369223774784169,0.0798411187288086,0.005618778798128722,0.6286158991490101,0.2179576784107185,1.4825312495817657,0.14209753714683163
glerl_m110_zoop_1994-201,0.12,0.15734299437017557,0.1715301720906812,0.16458951639583824,7.585118494076454,0.0,True,0.95,3.841458820694124,success,0.369223774784169,0.0798411187288086,0.005618778798128722,0.6286158991490101,0.2179576784107185,1.4825312495817657,0.14209753714683163
glerl_m110_zoop_1994-201,0.15166666666666667,0.15734299437017557,0.1715301720906812,0.16458951639583824,7.585118494076454,0.0,True,0.95,3.841458820694124,success,0.369223774784169,0.0798411187288086,0.005618778798128722,0.6286158991490101,0.2179576784107185,1.4825312495817657,0.14209753714683163
glerl_m110_zoop_1994-201,0.18333333333333335,0.15734299437017557,0.1715301720906812,0.16458951639583824,7.585118494076454,0.0,True,0.95,3.841458820694124,success,0.369223774784169,0.0798411187288086,0.005618778798128722,0.6286158991490101,0.2179576784107185,1.4825312495817657,0.14209753714683163
glerl_m110_zoop_1994-201,0.215,0.15734299437017557,0.1715301720906812,0.16458951639583824,7.585118494076454,0.0,True,0.95,3.841458820694124,success,0.369223774784169,0.0798411187288086,0.005618778798128722,0.6286158991490101,0.2179576784107185,1.4825312495817657,0.14209753714683163
glerl_m110_zoop_1994-201,0.24666666666666667,0.15734299437017557,0.1715301720906812,0.16458951639583824,7.585118494076454,0.0,True,0.95,3.841458820694124,success,0.369223774784169,0.0798411187288086,0.005618778798128722,0.6286158991490101,0.2179576784107185,1.4825312495817657,0.14209753714683163
glerl_m110_zoop_1994-201,0.2783333333333333,0.15734299437017557,0.1715301720906812,0.16458951639583824,7.585118494076454,0.0,True,0.95,3.841458820694124,success,0.369223774784169,0.0798411187288086,0.005618778798128722,0.6286158991490101,0.2179576784107185,1.4825312495817657,0.14209753714683163
glerl_m110_zoop_1994-201,0.31,0.15734299437017557,0.1715301720906812,0.16458951639583824,7.585118494076454,0.0,True,0.95,3.841458820694124,success,0.369223774784169,0.0798411187288086,0.005618778798128722,0.6286158991490101,0.2179576784107185,1.4825312495817657,0.14209753714683163
glerl_m110_zoop_1994-201,0.3416666666666667,0.15734299437017557,0.1715301720906812,0.16458951639583824,7.585118494076454,0.0,True,0.95,3.841458820694124,success,0.369223774784169,0.0798411187288086,0.005618778798128722,0.6286158991490101,0.2179576784107185,1.4825312495817657,0.14209753714683163
glerl_m110_zoop_1994-201,0.37333333333333335,0.15734299437017557,0.1715301720906812,0.16458951639583824,7.585118494076454,0.0,True,0.95,3.841458820694124,success,0.369223774784169,0.0798411187288086,0.005618778798128722,0.6286158991490101,0.2179576784107185,1.4825312495817657,0.14209753714683163
glerl_m110_zoop_1994-201,0.405,0.15734299437017557,0.1715301720906812,0.16458951639583824,7.585118494076454,0.0,True,0.95,3.841458820694124,success,0.369223774784169,0.0798411187288086,0.005618778798128722,0.6286158991490101,0.2179576784107185,1.4825312495817657,0.14209753714683163
glerl_m110_zoop_1994-201,0.4366666666666667,0.15734299437017557,0.1715301720906812,0.16458951639583824,7.585118494076454,0.0,True,0.95,3.841458820694124,success,0.369223774784169,0.0798411187288086,0.005618778798128722,0.6286158991490101,0.2179576784107185,1.4825312495817657,0.14209753714683163
glerl_m110_zoop_1994-201,0.4683333333333334,0.15734299437017557,0.1715301720906812,0.16458951639583824,7.585118494076454,0.0,True,0.95,3.841458820694124,success,0.369223774784169,0.0798411187288086,0.005618778798128722,0.6286158991490101,0.2179576784107185,1.4825312495817657,0.14209753714683163
glerl_m110_zoop_1994-201,0.5,0.15734299437017557,0.1715301720906812,0.16458951639583824,7.585118494076454,0.0,True,0.95,3.841458820694124,success,0.369223774784169,0.0798411187288086,0.005618778798128722,0.6286158991490101,0.2179576784107185,1.4825312495817657,0.14209753714683163
timeserieslogmeans_TP,0.0001,0.16244689009033916,0.19194554182733622,0.17780900304457647,3.0351399901157956,0.4008778234051238,True,0.95,3.841458820694124,usable_limit,0.8594875919049298,0.1337172726372677,0.7126673531462252,4.999473631404354,0.3305543866468484,0.12117326278688076,0.05000000000000001
timeserieslogmeans_TP,0.0001333521432163324,0.16246130544461396,0.19176538757666675,0.17771837220613598,3.032046702681474,0.3029887573649631,True,0.95,3.841458820694124,usable_limit,0.858247336337354,0.13368965436731292,0.7774752130115242,4.974841123014628,0.32191103452893094,0.12254181155462382,0.05000000000000001
timeserieslogmeans_TP,0.00017782794100389227,0.1621837776075618,0.19194189102108528,0.17768689772716675,3.0309728278948436,0.26898194604769027,True,0.95,3.841458820694124,usable_limit,0.8466565184222872,0.1336875161472549,0.6344537473341963,4.89792680133582,0.09909416727589214,0.11675202025037101,0.05000000000000001
timeserieslogmeans_TP,0.00023713737056616554,0.1624032566723356,0.1918118034354085,0.17771688962353058,3.0319961143163665,0.3013870262436494,True,0.95,3.841458820694124,usable_limit,0.8577268252612733,0.1325912625013788,0.758405769520018,4.974776782348263,0.25475605720806954,0.1222845482946412,0.05000000000000001
timeserieslogmeans_TP,0.00031622776601683794,0.16221312778304794,0.19189216312313837,0.1776734379321183,3.0305136524753555,0.25443738160863105,True,0.95,3.841458820694124,usable_limit,0.8571914249423064,0.1380392177298787,0.6967504889908259,4.9440120628249025,0.17726710871807405,0.12082273720033677,0.05000000000000001
timeserieslogmeans_TP,0.00042169650342858224,0.16248426306645197,0.1917457711674492,0.17771828339375745,3.0320436722326924,0.3028928079100308,True,0.95,3.841458820694124,usable_limit,0.8591162686390162,0.1337224177667277,0.7839083463686268,4.97954806845567,0.3170629204074338,0.12201831592762219,0.05000000000000001
timeserieslogmeans_TP,0.0005623413251903491,0.16216037931931201,0.19238558370481784,0.17791599343289324,3.0387936690444777,0.5163724070281916,True,0.95,3.841458820694124,usable_limit,0.8573538283958907,0.13378397551975413,0.6579604154213563,4.999999999999999,0.33633462330176167,0.12886311292886288,0.05004316705633039
timeserieslogmeans_TP,0.0007498942093324559,0.16249161609056872,0.1917572679909632,0.1777278468995262,3.0323700060999768,0.3132245738320978,True,0.95,3.841458820694124,usable_limit,0.857476593886898,0.13308628501973271,0.7830057300683414,4.986533412366679,0.3182917878070586,0.12322618253970032,0.05000000000000001
timeserieslogmeans_TP,0.001,0.16246025417187177,0.19176424819762364,0.1777172769772103,3.0320093314746703,0.30180551109117576,True,0.95,3.841458820694124,usable_limit,0.8585755830816292,0.13371724430531226,0.7774936452914275,4.975325825993941,0.32281413417429017,0.12230089359633896,0.05000000000000001
timeserieslogmeans_TP,0.001333521432163324,0.16244045844214247,0.19178996060446457,0.17772210263154592,3.0321739933226635,0.30701892122888685,True,0.95,3.841458820694124,success,0.8578360363817432,0.13402631589840136,0.769419810073501,4.972509019204732,0.3241226708338472,0.1232221097924671,0.05000000000000001
timeserieslogmeans_TP,0.0017782794100389228,0.16244473327863304,0.19178178323149625,0.17771964403157414,3.032090099972105,0.304362783062667,True,0.95,3.841458820694124,usable_limit,0.8568187444345996,0.13240998813655422,0.7749677025568661,4.971480704545853,0.32128346058514873,0.12321722269441608,0.05000000000000001
timeserieslogmeans_TP,0.0023713737056616554,0.16246104019943725,0.19177811785021937,0.17772511931189663,3.032276931305078,0.3102779289892194,True,0.95,3.841458820694124,success,0.8581566097108841,0.13389203803016247,0.7779689450095789,4.980333240750542,0.3219126521547219,0.12378549225403974,0.05000000000000001
