series,k,rmse_normalized_prey,rmse_normalized_predator,rmse_normalized_total
lynxhare,0.0001,0.19795953613945988,0.2119629941264228,0.20508082410063122
lynxhare,0.0001333521432163324,0.19795942901775568,0.21196294645671626,0.20508074776493354
lynxhare,0.00017782794100389227,0.19795928619049744,0.21196288289859322,0.20508064598559028
lynxhare,0.00023713737056616554,0.19795909576607726,0.21196279816105992,0.20508051028899502
lynxhare,0.00031622776601683794,0.19795884189996418,0.2119626851947956,0.20508032938505225
lynxhare,0.00042169650342858224,0.19795850348669738,0.2119625346106146,0.20508008823536328
lynxhare,0.0005623413251903491,0.1979580524233237,0.21196233390784083,0.20507976681634682
lynxhare,0.0007498942093324559,0.197957451308164,0.21196206645208887,0.20507933848033527
lynxhare,0.001,0.19795665039700402,0.21196171012418016,0.2050787677883411
lynxhare,0.001333521432163324,0.19795558358899482,0.21196123553989343,0.2050780076527682
lynxhare,0.0017782794100389228,0.197954163152873,0.21196060371392564,0.2050769955849828
lynxhare,0.0023713737056616554,0.19795227283508793,0.2119597630120875,0.20507564879419177
lynxhare,0.0031622776601683794,0.19794975891808395,0.21195864520629845,0.20507385783348528
lynxhare,0.004216965034285823,0.1979464187366437,0.21195716042464618,0.20507147844829846
lynxhare,0.005623413251903491,0.1979420104415122,0.21195519061037585,0.2050683329091897
lynxhare,0.007498942093324558,0.19793620781584598,0.2119525818965949,0.2050641842657446
lynxhare,0.01,0.19792853694698453,0.21194913562186327,0.205058701142903
lynxhare,0.01333521432163324,0.19791842623668365,0.21194459739975277,0.20505147623334594
lynxhare,0.01778279410038923,0.1979051525964638,0.21193864697139686,0.20504199509404897
lynxhare,0.023713737056616554,0.19788782013836936,0.2119308903959552,0.20502962183930643
lynxhare,0.03162277660168379,0.19786535282976375,0.21192085986498246,0.20501359552034645
lynxhare,0.042169650342858224,0.19783673037674887,0.21190807238529588,0.20499317431101732
lynxhare,0.05623413251903491,0.1978005444139203,0.21189197343811583,0.20496739225782043
lynxhare,0.07498942093324558,0.1977560493030455,0.21187186722152107,0.20493553029658182
lynxhare,0.1,0.1977023932010678,0.21184729237247427,0.20489693941464598
lynxhare,0.12,0.19766400757272928,0.21182981519044153,0.2048693858209769
lynxhare,0.15166666666666667,0.19761103530233337,0.211805928018171,0.20483148246412058
lynxhare,0.18333333333333335,0.19756704312337142,0.21178644815901404,0.20480019061553975
lynxhare,0.215,0.19753143009841514,0.21177107518466123,0.20477506459722156
lynxhare,0.24666666666666667,0.1975035469050548,0.21175957062899672,0.2047556675565468
lynxhare,0.2783333333333333,0.19748293392874336,0.21175173484539866,0.20474167431563664
lynxhare,0.31,0.19746886376141204,0.21174739871920512,0.2047326464191448
lynxhare,0.3416666666666667,0.19746157971021003,0.21174638622446,0.20472861004360113
lynxhare,0.37333333333333335,0.19746025849618162,0.21174851115869092,0.20472907177938987
lynxhare,0.405,0.1974644873889911,0.21175361549651678,0.20473375082731682
lynxhare,0.4366666666666667,0.19747380874282075,0.21176096182285933,0.20474204513428435
lynxhare,0.4683333333333334,0.19748779530938412,0.2117697956849596,0.2047533585324191
lynxhare,0.5,0.19750629259904595,0.211781127709752,0.20476813920900175
glerl_m110_zoop_1994-201,0.0001,0.15734299437017557,0.1715301720906812,0.16458951639583824
glerl_m110_zoop_1994-201,0.0001333521432163324,0.15734299437017557,0.1715301720906812,0.16458951639583824
glerl_m110_zoop_1994-201,0.00017782794100389227,0.15734299437017557,0.1715301720906812,0.16458951639583824
glerl_m110_zoop_1994-201,0.00023713737056616554,0.15734299437017557,0.1715301720906812,0.16458951639583824
glerl_m110_zoop_1994-201,0.00031622776601683794,0.15734299437017557,0.1715301720906812,0.16458951639583824
glerl_m110_zoop_1994-201,0.00042169650342858224,0.15734299437017557,0.1715301720906812,0.16458951639583824
glerl_m110_zoop_1994-201,0.0005623413251903491,0.15734299437017557,0.1715301720906812,0.16458951639583824
glerl_m110_zoop_1994-201,0.0007498942093324559,0.15734299437017557,0.1715301720906812,0.16458951639583824
glerl_m110_zoop_1994-201,0.001,0.15734299437017557,0.1715301720906812,0.16458951639583824
glerl_m110_zoop_1994-201,0.001333521432163324,0.15734299437017557,0.1715301720906812,0.16458951639583824
glerl_m110_zoop_1994-201,0.0017782794100389228,0.15734299437017557,0.1715301720906812,0.16458951639583824
glerl_m110_zoop_1994-201,0.0023713737056616554,0.15734299437017557,0.1715301720906812,0.16458951639583824
glerl_m110_zoop_1994-201,0.0031622776601683794,0.15734299437017557,0.1715301720906812,0.16458951639583824
glerl_m110_zoop_1994-201,0.004216965034285823,0.15734299437017557,0.1715301720906812,0.16458951639583824
glerl_m110_zoop_1994-201,0.005623413251903491,0.15734299437017557,0.1715301720906812,0.16458951639583824
glerl_m110_zoop_1994-201,0.007498942093324558,0.15734299437017557,0.1715301720906812,0.16458951639583824
glerl_m110_zoop_1994-201,0.01,0.15734299437017557,0.1715301720906812,0.16458951639583824
glerl_m110_zoop_1994-201,0.01333521432163324,0.15734299437017557,0.1715301720906812,0.16458951639583824
glerl_m110_zoop_1994-201,0.01778279410038923,0.15734299437017557,0.1715301720906812,0.16458951639583824
glerl_m110_zoop_1994-201,0.023713737056616554,0.15734299437017557,0.1715301720906812,0.16458951639583824
glerl_m110_zoop_1994-201,0.03162277660168379,0.15734299437017557,0.1715301720906812,0.16458951639583824
glerl_m110_zoop_1994-201,0.042169650342858224,0.15734299437017557,0.1715301720906812,0.16458951639583824
glerl_m110_zoop_1994-201,0.05623413251903491,0.15734299437017557,0.1715301720906812,0.16458951639583824
glerl_m110_zoop_1994-201,0.07498942093324558,0.15734299437017557,0.1715301720906812,0.16458951639583824
glerl_m110_zoop_1994-201,0.1,0.15734299437017557,0.1715301720906812,0.16458951639583824
glerl_m110_zoop_1994-201,0.12,0.15734299437017557,0.1715301720906812,0.16458951639583824
glerl_m110_zoop_1994-201,0.15166666666666667,0.15734299437017557,0.1715301720906812,0.16458951639583824
glerl_m110_zoop_1994-201,0.18333333333333335,0.15734299437017557,0.1715301720906812,0.16458951639583824
glerl_m110_zoop_1994-201,0.215,0.15734299437017557,0.1715301720906812,0.16458951639583824
glerl_m110_zoop_1994-201,0.24666666666666667,0.15734299437017557,0.1715301720906812,0.16458951639583824
glerl_m110_zoop_1994-201,0.2783333333333333,0.15734299437017557,0.1715301720906812,0.16458951639583824
glerl_m110_zoop_1994-201,0.31,0.15734299437017557,0.1715301720906812,0.16458951639583824
glerl_m110_zoop_1994-201,0.3416666666666667,0.15734299437017557,0.1715301720906812,0.16458951639583824
glerl_m110_zoop_1994-201,0.37333333333333335,0.15734299437017557,0.1715301720906812,0.16458951639583824
glerl_m110_zoop_1994-201,0.405,0.15734299437017557,0.1715301720906812,0.16458951639583824
glerl_m110_zoop_1994-201,0.4366666666666667,0.15734299437017557,0.1715301720906812,0.16458951639583824
glerl_m110_zoop_1994-201,0.4683333333333334,0.15734299437017557,0.1715301720906812,0.16458951639583824
glerl_m110_zoop_1994-201,0.5,0.15734299437017557,0.1715301720906812,0.16458951639583824
timeserieslogmeans_TP,0.0001,0.1642935672730678,0.19382015037455527,0.1796644468704441
timeserieslogmeans_TP,0.0001333521432163324,0.16429325746876228,0.19382012261073306,0.17966429024507988
timeserieslogmeans_TP,0.00017782794100389227,0.16429284471437142,0.19382008560034672,0.17966408156121008
timeserieslogmeans_TP,0.00023713737056616554,0.1642922949666752,0.19382003626979283,0.17966380359582843
timeserieslogmeans_TP,0.00031622776601683794,0.16429156305659676,0.1938199705283857,0.1796634334905186
timeserieslogmeans_TP,0.00042169650342858224,0.16429058915585673,0.1938198829354127,0.17966294095649718
timeserieslogmeans_TP,0.0005623413251903491,0.1642892942042764,0.1938197662609881,0.1796622859472785
timeserieslogmeans_TP,0.0007498942093324559,0.16430888844803065,0.1938176136715713,0.17967008403233112
timeserieslogmeans_TP,0.001,0.16430625578593397,0.19381738199263354,0.17966875528715504
timeserieslogmeans_TP,0.001333521432163324,0.16430276742783917,0.19381707566936088,0.1796669950289554
timeserieslogmeans_TP,0.0017782794100389228,0.16429815566969677,0.19381667177950385,0.17966466850239063
timeserieslogmeans_TP,0.0023713737056616554,0.16429207764710974,0.19381614119808982,0.1796616032525061
timeserieslogmeans_TP,0.0031622776601683794,0.16428410167349908,0.19381544753018673,0.17965758231145598
timeserieslogmeans_TP,0.004216965034285823,0.16427369834306726,0.19381454631829526,0.17965233971740485
timeserieslogmeans_TP,0.005623413251903491,0.1642602458128268,0.19381338518842747,0.17964556302993967
timeserieslogmeans_TP,0.007498942093324558,0.16424306882160206,0.19381213954959778,0.17963703834778935
timeserieslogmeans_TP,0.01,0.16424305271918715,0.19381096576143816,0.17963639778160082
