series,delta,memory_timescale,m0,rmse_normalized_prey,rmse_normalized_predator,rmse_normalized_total,validation_rmse_normalized_prey,validation_rmse_normalized_predator,validation_rmse_normalized_total,profile_rss,profile_likelihood_ratio,inside_confidence_interval,confidence_level,likelihood_ratio_threshold,optimization_status,r,K,a,theta,e,mu,phi
andren_lynx_roedeer_data_1,0.01,100.0,4.102564102564103,0.37909675557394373,0.16794083041280122,0.29318805620832483,0.630615038678444,0.17530086079149615,0.4628205477297086,3.266450979522202,123.03793819236101,False,0.95,3.841458820694124,success,0.616120262643038,157.12949326705956,0.04870901054454377,3.101874425370801e-06,0.03173628174471364,0.19485375388028864,0.19473690158385715
andren_lynx_roedeer_data_1,0.01539926526059492,64.93816315762113,4.102564102564103,0.3790379513475086,0.16779222290339169,0.2931074876462369,0.630615038678444,0.17528625835244807,0.46281778238018073,3.264655973942979,123.01705039670433,False,0.95,3.841458820694124,success,0.616120262643038,157.12949326705956,0.04870901054454379,3.101874425370801e-06,0.03173628174471364,0.1948537538802886,0.19473690158385715
andren_lynx_roedeer_data_1,0.023713737056616554,42.169650342858226,4.102564102564103,0.37894804369726315,0.16759152320583057,0.2929919269130408,0.6306150386784439,0.1752658083680607,0.4628139100061304,3.262082230976233,122.98708068297134,False,0.95,3.841458820694124,success,0.6161202626430388,157.12949326705942,0.04870901054454375,3.101874425370801e-06,0.0317362817447136,0.1948537538802898,0.1947369015838575
andren_lynx_roedeer_data_1,0.03651741272548377,27.384196342643612,4.102564102564103,0.3788088958570156,0.1672235275130295,0.2927967620503275,0.630615038678443,0.1752385816198902,0.4628087550465987,3.257737866951932,122.93643945211635,False,0.95,3.841458820694124,success,0.6161202626430381,157.12949326705956,0.04870901054454377,3.101874425370801e-06,0.03173628174471363,0.19485375388028886,0.19473690158385723
andren_lynx_roedeer_data_1,0.05623413251903491,17.78279410038923,4.102564102564103,0.37859625424169496,0.1666685617660474,0.2925008830815771,0.630615038678436,0.1751993075402339,0.4628013204226965,3.251157130933093,122.85960058653214,False,0.95,3.841458820694124,success,0.6161202626430381,157.12949326705956,0.04870901054454377,3.101874425370801e-06,0.03173628174471364,0.1948537538802887,0.1947369015838572
andren_lynx_roedeer_data_1,0.08659643233600653,11.547819846894583,4.102564102564103,0.05458487629160914,0.07368182779905885,0.06484026707062686,0.08019766814721735,0.06073726000144444,0.07113606936264565,0.15976188888402826,8.362494468589688,False,0.95,3.841458820694124,usable_limit,1.729850383135875,231.28212497569567,0.23191724813269798,3.080867783534738e-06,0.010000000000000004,0.25160257377173484,0.026046968054268586
andren_lynx_roedeer_data_1,0.1333521432163324,7.498942093324558,4.102564102564103,0.0548290934285722,0.07028809155462892,0.0630342974125634,0.07434273751983214,0.05934291579631438,0.06726226385259092,0.15098626071122892,6.215659073574019,False,0.95,3.841458820694124,usable_limit,4.842205251415253,197.9306850097631,0.23126769747813344,3.1165092683786562e-06,0.010000000000000004,0.2538482955645965,0.04123418499103172
andren_lynx_roedeer_data_1,0.2053525026457146,4.869675251658631,4.102564102564103,0.05100336671643753,0.06621511055459371,0.05910069492894511,0.06619617701259532,0.04851493898395034,0.05803289220648613,0.13272990136120105,1.318500367670591,True,0.95,3.841458820694124,usable_limit,4.999999999999999,182.11891591155657,0.060892601552773325,3.1081300438533986e-06,0.026513330710134335,0.19553703088240287,0.0623129463529305
andren_lynx_roedeer_data_1,0.31622776601683794,3.162277660168379,4.102564102564103,0.05036050959698957,0.06536352456241354,0.05834625639271863,0.08203151698690372,0.03538483062758083,0.06317141765749466,0.12936285413170467,0.3420915844631911,True,0.95,3.841458820694124,usable_limit,1.571500044820511,158.92934760355817,0.0183736511948326,3.0544728789689657e-06,0.08280693693612402,0.19241008200713808,0.08247902241358764
andren_lynx_roedeer_data_1,0.4869675251658631,2.0535250264571463,4.102564102564103,0.050224034126125104,0.06500076295010218,0.058084218114723536,0.09041411306003079,0.03435872788064976,0.06839310645821174,0.12820350297195357,0.0,True,0.95,3.841458820694124,usable_limit,1.0020295954509306,152.3602584545993,0.00894132532932303,2.6569586590587436e-06,0.16523607107605556,0.18943290260569726,0.12190552700253432
