model,n_series,comparison_set,median_training_rmse,median_validation_rmse,median_aicc,bound_hit_fraction
baseline,9,complete_cases_all_six_models,0.21353029044860902,0.251655205499681,-120.75239537497922,0.6666666666666666
fear_foraging,9,complete_cases_all_six_models,0.21383057169556904,0.21597826124190495,-147.9600801790836,0.4444444444444444
fear_handling,9,complete_cases_all_six_models,0.3080049354356609,0.25163949782372963,-71.76726653830121,0.4444444444444444
fear_instant,9,complete_cases_all_six_models,0.1954797286261119,0.2673950875991796,-147.95993143333095,0.5555555555555556
fear_memory,9,complete_cases_all_six_models,0.24685897462109843,0.27803198563213133,-118.02672199485582,0.5555555555555556
fear_saturating,9,complete_cases_all_six_models,0.2136516952591841,0.23395729503796794,-147.95921598162604,0.6666666666666666
