series,study,model,training_rmse,validation_rmse,aicc,optimization_status,usable_for_comparison,fear_parameter,fear_value,parameter_bound_hits,objective_value,n_parameters
andren_lynx_roedeer_data_4,andren_lynx_roedeer,fear_handling,0.5792719128463694,0.21290215962760714,-21.31079664224697,success,True,psi,1.2450494471654576e-05,,12.080015901676827,7
andren_lynx_roedeer_data_5,andren_lynx_roedeer,baseline,0.2830086478254443,0.3691174117383932,-75.98745161240801,usable_limit,True,,,K;e,2.8833198578872636,6
andren_lynx_roedeer_data_5,andren_lynx_roedeer,fear_instant,0.30375868961529506,0.3545560588450304,-67.78956074037079,usable_limit,True,phi,9.999999999999982e-09,K;phi,3.321339475672045,7
andren_lynx_roedeer_data_5,andren_lynx_roedeer,fear_memory,0.45525322037004845,0.27803198563213133,-38.656907031585575,success,True,phi,2.8264200587186856,r;K;a;theta;e;mu;phi,7.461197817637678,7
andren_lynx_roedeer_data_5,andren_lynx_roedeer,fear_saturating,0.21649427885911626,0.23395729503796794,-92.17376333868607,usable_limit,True,phi,0.4426874116226214,r;K;e;mu,1.6873118394989328,7
andren_lynx_roedeer_data_5,andren_lynx_roedeer,fear_foraging,1.5683544731516963,0.21597826124190495,50.40194136767563,success,True,psi,1.4008472510695437e-05,,88.55048712441967,7
andren_lynx_roedeer_data_5,andren_lynx_roedeer,fear_handling,1.4191478804076798,0.21597825948352967,43.204075723485175,success,True,psi,1.3632776678626225e-05,,72.50330543278429,7
andren_lynx_roedeer_data_6,andren_lynx_roedeer,baseline,0.3974701874768847,0.251655205499681,-43.688662256547026,success,True,,,K;theta;e;mu,5.055435638473739,6
andren_lynx_roedeer_data_6,andren_lynx_roedeer,fear_instant,0.4799162467404634,0.3237180691869044,-28.31852861410223,success,True,phi,0.3943750894645769,r;a;theta;e;mu,7.370227332050329,7
andren_lynx_roedeer_data_6,andren_lynx_roedeer,fear_memory,0.3105080564103403,0.3397193305282564,-56.18424094127355,usable_limit,True,phi,9.999999999999982e-09,K;mu;phi,3.083896526537325,7
andren_lynx_roedeer_data_6,andren_lynx_roedeer,fear_saturating,0.397435807405849,0.2516245056854187,-40.38753165216148,success,True,phi,0.6748288509632895,K;mu,5.054559966499283,7
andren_lynx_roedeer_data_6,andren_lynx_roedeer,fear_foraging,0.6328719968043989,0.408403837724989,-10.612507350947975,success,True,psi,1.4021612559570686e-05,,12.816862912752084,7
andren_lynx_roedeer_data_6,andren_lynx_roedeer,fear_handling,0.39746203218037507,0.25163949782372963,-40.38330875586791,success,True,psi,1.0689250350003934,K;mu,5.0552281851077145,7
andren_lynx_roedeer_data_7,andren_lynx_roedeer,baseline,0.08698608981737421,0.14785259098578812,-120.75239537497922,usable_limit,True,,,,0.21184979532403897,6
andren_lynx_roedeer_data_7,andren_lynx_roedeer,fear_instant,0.3906833470604804,0.3698336763734376,-33.032042465576076,success,True,phi,0.35952095711367804,e;mu,4.27373738067654,7
andren_lynx_roedeer_data_7,andren_lynx_roedeer,fear_memory,0.41375831326089146,0.3601358465139173,-29.818502561078652,success,True,phi,4.422918368007238,K;e;mu,4.793486377412288,7
andren_lynx_roedeer_data_7,andren_lynx_roedeer,fear_saturating,3.577878265888611,0.5339371983332869,90.98711784729116,success,True,phi,0.45300641280399045,,358.43396096501743,7
