initial_memory_scheme,n_usable_series,median_training_rmse,median_validation_rmse,median_aicc
early_predator_mean_quasi_steady,12,0.2742965543822718,0.21338227871455442,-169.94061411012245
predator_initial,11,0.24685897462109843,0.21958932668273035,-158.7515428256015
predator_initial_quasi_steady,11,0.24685897462109843,0.21958932668273035,-158.7515428256015
