series,study,pathway,fear_parameter,fear_strength,profile_rss,rmse_normalized_total,validation_rmse_normalized_total,optimization_status,profile_likelihood_ratio,inside_confidence_interval,confidence_level,likelihood_ratio_threshold
lynxhare,hudson_bay_lynx_hare,fear_instant,phi,0.0,9.604946940690247,0.31630923260662197,0.15486495357415922,success,0.0,True,0.95,3.841458820694124
lynxhare,hudson_bay_lynx_hare,fear_instant,phi,3.1581212105940303e-09,9.604946952292215,0.31630923279765943,0.15488055975163031,success,1.1595991360126919e-07,True,0.95,3.841458820694124
lynxhare,hudson_bay_lynx_hare,fear_instant,phi,1.05270707019801e-08,9.604946942716143,0.3163092326399803,0.15486699478045896,success,2.02485281853588e-08,True,0.95,3.841458820694124
lynxhare,hudson_bay_lynx_hare,fear_instant,phi,3.15812121059403e-08,9.60494694338459,0.31630923265098687,0.15486588360486117,success,2.692954125982128e-08,True,0.95,3.841458820694124
lynxhare,hudson_bay_lynx_hare,fear_instant,phi,9.47436363178209e-08,9.604946948158949,0.31630923272960126,0.154866718423855,success,7.464855397582954e-08,True,0.95,3.841458820694124
lynxhare,hudson_bay_lynx_hare,fear_instant,phi,3.15812121059403e-07,9.60494695178806,0.316309232789358,0.15484711802780474,success,1.1092095768803367e-07,True,0.95,3.841458820694124
lynxhare,hudson_bay_lynx_hare,fear_memory,phi,0.0,9.960500101963977,0.322110554616669,0.11087960796145047,success,0.0,True,0.95,3.841458820694124
lynxhare,hudson_bay_lynx_hare,fear_memory,phi,0.00865597316966196,9.960506962212783,0.32211066554273415,0.11087962496849674,success,6.611953736126667e-05,True,0.95,3.841458820694124
lynxhare,hudson_bay_lynx_hare,fear_memory,phi,0.028853243898873202,9.960522879196681,0.32211092291056936,0.1108796652372317,success,0.000219528318569666,True,0.95,3.841458820694124
lynxhare,hudson_bay_lynx_hare,fear_memory,phi,0.08655973169661961,9.96056889644203,0.3221116669799535,0.11087978483727276,success,0.0006630437245879741,True,0.95,3.841458820694124
lynxhare,hudson_bay_lynx_hare,fear_memory,phi,0.2,9.96066177078461,0.3221131686933538,0.11088003986364657,success,0.0015581628100126252,True,0.95,3.841458820694124
lynxhare,hudson_bay_lynx_hare,fear_saturating,phi,0.0,9.604946373544765,0.3163092232680303,0.1548738455467592,success,0.0,True,0.95,3.841458820694124
lynxhare,hudson_bay_lynx_hare,fear_saturating,phi,1.9248073398372676e-05,9.604946485638212,0.3163092251137559,0.15489313640507021,success,1.1203571978052799e-06,True,0.95,3.841458820694124
lynxhare,hudson_bay_lynx_hare,fear_saturating,phi,6.416024466124224e-05,9.604946714485866,0.31630922888195095,0.1548981082758449,success,3.407655174841512e-06,True,0.95,3.841458820694124
lynxhare,hudson_bay_lynx_hare,fear_saturating,phi,0.00019248073398372674,9.604947329666349,0.31630923901148456,0.15486836467819334,success,9.556291516757265e-06,True,0.95,3.841458820694124
lynxhare,hudson_bay_lynx_hare,fear_saturating,phi,0.0005774422019511802,9.60494925214122,0.3163092706668655,0.1548716626961761,success,2.8771135974864522e-05,True,0.95,3.841458820694124
lynxhare,hudson_bay_lynx_hare,fear_saturating,phi,0.0019248073398372674,9.604955978911015,0.31630938142951603,0.15487547743076258,success,9.600414858833823e-05,True,0.95,3.841458820694124
lynxhare,hudson_bay_lynx_hare,fear_foraging,psi,0.0,9.599145898565538,0.316213698485783,0.1551993340237806,usable_limit,9.037139347038236,False,0.95,3.841458820694124
lynxhare,hudson_bay_lynx_hare,fear_foraging,psi,0.017329061729534478,9.18757777935963,0.3093605262499772,0.09995373419956925,usable_limit,4.830246995104837,False,0.95,3.841458820694124
lynxhare,hudson_bay_lynx_hare,fear_foraging,psi,0.05776353909844826,9.604944614193498,0.31630919429863075,0.15486706490617774,success,9.09511415369026,False,0.95,3.841458820694124
lynxhare,hudson_bay_lynx_hare,fear_foraging,psi,0.17329061729534478,8.737876324132444,0.30169445643406556,0.14101522168085828,success,0.012472244660123474,True,0.95,3.841458820694124
lynxhare,hudson_bay_lynx_hare,fear_foraging,psi,0.2,8.736741179837939,0.30167485911708297,0.132877704003243,usable_limit,0.0,True,0.95,3.841458820694124
lynxhare,hudson_bay_lynx_hare,fear_handling,psi,0.0,9.219613731061347,0.3098994079243925,0.15651380790411876,usable_limit,2.5933657065894287,True,0.95,3.841458820694124
lynxhare,hudson_bay_lynx_hare,fear_handling,psi,0.016642977351194004,9.231217016368127,0.31009435755454823,0.11203206139631891,success,2.7141099214754325,True,0.95,3.841458820694124
lynxhare,hudson_bay_lynx_hare,fear_handling,psi,0.05547659117064668,9.203435004698282,0.30962738030134507,0.12413308691155135,success,2.4247553802102018,True,0.95,3.841458820694124
lynxhare,hudson_bay_lynx_hare,fear_handling,psi,0.16642977351194005,9.149582156862499,0.3087201766443484,0.1111279191357122,usable_limit,1.8613724569216146,True,0.95,3.841458820694124
lynxhare,hudson_bay_lynx_hare,fear_handling,psi,0.2,8.973887003226228,0.3057417040852292,0.06487191755979096,usable_limit,0.0,True,0.95,3.841458820694124
glerl_m110_zoop_1994-201,glerl_zooplankton,fear_instant,phi,0.0,10.69945080504674,0.1954797286261119,0.29628651205670775,success,0.0,True,0.95,3.841458820694124
glerl_m110_zoop_1994-201,glerl_zooplankton,fear_instant,phi,0.002,10.69945080504674,0.1954797286261119,0.29628651205670775,success,0.0,True,0.95,3.841458820694124
glerl_m110_zoop_1994-201,glerl_zooplankton,fear_instant,phi,0.006666666666666667,10.69945080504674,0.1954797286261119,0.29628651205670775,success,0.0,True,0.95,3.841458820694124
glerl_m110_zoop_1994-201,glerl_zooplankton,fear_instant,phi,0.02,10.69945080504674,0.1954797286261119,0.29628651205670775,success,0.0,True,0.95,3.841458820694124
glerl_m110_zoop_1994-201,glerl_zooplankton,fear_instant,phi,0.06,10.69945080504674,0.1954797286261119,0.29628651205670775,success,0.0,True,0.95,3.841458820694124
glerl_m110_zoop_1994-201,glerl_zooplankton,fear_instant,phi,0.2,10.69945080504674,0.1954797286261119,0.29628651205670775,success,0.0,True,0.95,3.841458820694124
glerl_m110_zoop_1994-201,glerl_zooplankton,fear_memory,phi,0.0,10.69945080504674,0.1954797286261119,0.29628651205670775,success,0.0,True,0.95,3.841458820694124
glerl_m110_zoop_1994-201,glerl_zooplankton,fear_memory,phi,0.002,10.69945080504674,0.1954797286261119,0.29628651205670775,success,0.0,True,0.95,3.841458820694124
glerl_m110_zoop_1994-201,glerl_zooplankton,fear_memory,phi,0.006666666666666667,10.69945080504674,0.1954797286261119,0.29628651205670775,success,0.0,True,0.95,3.841458820694124
glerl_m110_zoop_1994-201,glerl_zooplankton,fear_memory,phi,0.02,10.69945080504674,0.1954797286261119,0.29628651205670775,success,0.0,True,0.95,3.841458820694124
glerl_m110_zoop_1994-201,glerl_zooplankton,fear_memory,phi,0.06,10.69945080504674,0.1954797286261119,0.29628651205670775,success,0.0,True,0.95,3.841458820694124
glerl_m110_zoop_1994-201,glerl_zooplankton,fear_memory,phi,0.2,10.69945080504674,0.1954797286261119,0.29628651205670775,success,0.0,True,0.95,3.841458820694124
glerl_m110_zoop_1994-201,glerl_zooplankton,fear_saturating,phi,0.0,10.69945080504674,0.1954797286261119,0.29628651205670775,success,0.0,True,0.95,3.841458820694124
glerl_m110_zoop_1994-201,glerl_zooplankton,fear_saturating,phi,0.02,10.69945080504674,0.1954797286261119,0.29628651205670775,success,0.0,True,0.95,3.841458820694124
glerl_m110_zoop_1994-201,glerl_zooplankton,fear_saturating,phi,0.06666666666666667,10.69945080504674,0.1954797286261119,0.29628651205670775,success,0.0,True,0.95,3.841458820694124
glerl_m110_zoop_1994-201,glerl_zooplankton,fear_saturating,phi,0.2,10.69945080504674,0.1954797286261119,0.29628651205670775,success,0.0,True,0.95,3.841458820694124
glerl_m110_zoop_1994-201,glerl_zooplankton,fear_saturating,phi,0.6000000000000001,10.69945080504674,0.1954797286261119,0.29628651205670775,success,0.0,True,0.95,3.841458820694124
glerl_m110_zoop_1994-201,glerl_zooplankton,fear_saturating,phi,0.99,10.69945080504674,0.1954797286261119,0.29628651205670775,success,0.0,True,0.95,3.841458820694124
glerl_m110_zoop_1994-201,glerl_zooplankton,fear_foraging,psi,0.0,10.69945080504674,0.1954797286261119,0.29628651205670775,success,0.0,True,0.95,3.841458820694124
glerl_m110_zoop_1994-201,glerl_zooplankton,fear_foraging,psi,0.002,10.69945080504674,0.1954797286261119,0.29628651205670775,success,0.0,True,0.95,3.841458820694124
glerl_m110_zoop_1994-201,glerl_zooplankton,fear_foraging,psi,0.006666666666666667,10.69945080504674,0.1954797286261119,0.29628651205670775,success,0.0,True,0.95,3.841458820694124
