series,model,validation_rmse,aicc,optimization_status,usable_for_comparison,source
andren_lynx_roedeer_data_7,fear_saturating,0.2119518594491548,-126.16345107101733,usable_limit,True,report_protocol_extension_multiseed_global_local
andren_lynx_roedeer_data_7,fear_foraging,0.18887626101001678,-125.10523801592362,usable_limit,True,report_protocol_extension_multiseed_global_local
andren_lynx_roedeer_data_7,fear_handling,0.12977883441167257,-107.11294327239236,usable_limit,True,report_protocol_extension_multiseed_global_local
andren_lynx_roedeer_data_7,bda_fear,0.11347521876389514,-114.76159060633587,usable_limit,True,formal_report_fit_summary
timeserieslogmeans_WRHW,baseline,0.15342050704249063,-319.3555308165882,success,True,formal_report_fit_summary
timeserieslogmeans_WRHW,fear_instant,0.12664171945362798,-323.6075990240487,usable_limit,True,report_protocol_extension_multiseed_global_local
timeserieslogmeans_WRHW,fear_memory,0.15362183383115482,-317.2666807684336,success,True,formal_report_fit_summary
timeserieslogmeans_WRHW,fear_saturating,0.18382385515188235,-323.4094502959762,usable_limit,True,report_protocol_extension_multiseed_global_local
timeserieslogmeans_WRHW,fear_foraging,0.1416549789922916,-339.2796621407103,usable_limit,True,report_protocol_extension_multiseed_global_local
timeserieslogmeans_WRHW,fear_handling,0.1526342492815432,-317.15454727044283,success,True,report_protocol_extension_multiseed_global_local
timeserieslogmeans_WRHW,bda_fear,0.1548381288461353,-311.9617642338168,usable_limit,True,formal_report_fit_summary
timeserieslogmeans_TP,baseline,0.10301369746769957,-319.2625993027866,usable_limit,True,formal_report_fit_summary
timeserieslogmeans_TP,fear_instant,0.10908208013734297,-316.5135381971269,usable_limit,True,report_protocol_extension_multiseed_global_local
timeserieslogmeans_TP,fear_memory,0.08927945010935116,-317.4920488920734,success,True,formal_report_fit_summary
timeserieslogmeans_TP,fear_saturating,0.10330228853233912,-316.8647046537122,usable_limit,True,report_protocol_extension_multiseed_global_local
timeserieslogmeans_TP,fear_foraging,0.10060003080572877,-316.3550515312636,success,True,report_protocol_extension_multiseed_global_local
timeserieslogmeans_TP,fear_handling,0.08013947480821489,-317.26505422044943,usable_limit,True,report_protocol_extension_multiseed_global_local
timeserieslogmeans_TP,bda_fear,0.08367747552095747,-314.0337734349974,usable_limit,True,formal_report_fit_summary
timeserieslogmeans_WRGP,baseline,0.1862484512328017,-265.6755243869564,usable_limit,True,formal_report_fit_summary
timeserieslogmeans_WRGP,fear_instant,0.12537742518908682,-245.13945046262748,success,True,report_protocol_extension_multiseed_global_local
timeserieslogmeans_WRGP,fear_memory,0.19258376495682966,-245.09079365466746,usable_limit,True,formal_report_fit_summary
timeserieslogmeans_WRGP,fear_saturating,0.1317706735953452,-245.3605038067271,success,True,report_protocol_extension_multiseed_global_local
timeserieslogmeans_WRGP,fear_foraging,0.16303579602312837,-257.17513499326947,usable_limit,True,report_protocol_extension_multiseed_global_local
timeserieslogmeans_WRGP,fear_handling,0.16450031772228163,-251.59825043098712,success,True,report_protocol_extension_multiseed_global_local
timeserieslogmeans_WRGP,bda_fear,0.14335366008127537,-242.33116919678704,success,True,formal_report_fit_summary
isle_royale_wolf_moose_pre_2018,baseline,0.2283304101633647,-217.25228247555808,usable_limit,True,formal_report_fit_summary
isle_royale_wolf_moose_pre_2018,fear_instant,0.22851460920377697,-214.67159364968205,usable_limit,True,report_protocol_extension_multiseed_global_local
isle_royale_wolf_moose_pre_2018,fear_memory,0.28123252488731015,-208.12081802844844,success,True,formal_report_fit_summary
isle_royale_wolf_moose_pre_2018,fear_saturating,0.22841868113702113,-214.6676755468944,usable_limit,True,report_protocol_extension_multiseed_global_local
isle_royale_wolf_moose_pre_2018,fear_foraging,0.2285184009683272,-214.6489770223263,usable_limit,True,report_protocol_extension_multiseed_global_local
isle_royale_wolf_moose_pre_2018,fear_handling,0.22850169734910106,-214.7300352522977,usable_limit,True,report_protocol_extension_multiseed_global_local
isle_royale_wolf_moose_pre_2018,bda_fear,0.22752826823339278,-208.61756771923933,usable_limit,True,formal_report_fit_summary
windermere_north_pike_perch,baseline,1.5234492844961285,-114.61316137464064,usable_limit,True,formal_report_fit_summary
windermere_north_pike_perch,fear_instant,0.42307355821019804,-114.91289870115153,success,True,report_protocol_extension_multiseed_global_local
windermere_north_pike_perch,fear_memory,3.039241798066608,-113.61015004444005,usable_limit,True,formal_report_fit_summary
windermere_north_pike_perch,fear_saturating,0.42310177169250024,-114.91353329997997,usable_limit,True,report_protocol_extension_multiseed_global_local
windermere_north_pike_perch,fear_foraging,0.42934103289231373,-116.02390244412828,usable_limit,True,report_protocol_extension_multiseed_global_local
windermere_north_pike_perch,fear_handling,0.42309844479041286,-114.91406110928378,success,True,report_protocol_extension_multiseed_global_local
windermere_north_pike_perch,bda_fear,0.5391577722569432,-114.52829528010896,usable_limit,True,formal_report_fit_summary
windermere_south_pike_perch,baseline,1.1560310524523996,-126.40111704856744,usable_limit,True,formal_report_fit_summary
windermere_south_pike_perch,fear_instant,1.1699892849721807,-123.35944794317498,usable_limit,True,report_protocol_extension_multiseed_global_local
windermere_south_pike_perch,fear_memory,1.3883322948768493,-124.15335417106519,usable_limit,True,formal_report_fit_summary
windermere_south_pike_perch,fear_saturating,1.5010556737888097,-123.95392913256563,usable_limit,True,report_protocol_extension_multiseed_global_local
windermere_south_pike_perch,fear_foraging,1.5541132416259156,-124.15047384496395,usable_limit,True,report_protocol_extension_multiseed_global_local
windermere_south_pike_perch,fear_handling,1.3131183604768246,-124.19515754184124,usable_limit,True,report_protocol_extension_multiseed_global_local
windermere_south_pike_perch,bda_fear,2.346768763389447,-120.75370916604125,usable_limit,True,formal_report_fit_summary
komi_lynx_hare,baseline,0.5810655355482642,-60.3354330104833,success,True,formal_report_fit_summary
komi_lynx_hare,fear_instant,0.6003678398050175,-64.85078953014408,success,True,report_protocol_extension_multiseed_global_local
komi_lynx_hare,fear_memory,0.6084673516183214,-66.07803923335237,usable_limit,True,formal_report_fit_summary
komi_lynx_hare,fear_saturating,0.6132349276125258,-65.09772262261251,success,True,report_protocol_extension_multiseed_global_local
komi_lynx_hare,fear_foraging,0.5964390793886363,-65.15212639140061,usable_limit,True,report_protocol_extension_multiseed_global_local
komi_lynx_hare,fear_handling,0.6028165152649243,-65.02249357671563,usable_limit,True,report_protocol_extension_multiseed_global_local
komi_lynx_hare,bda_fear,0.6089288659354598,-62.2200409854474,success,True,formal_report_fit_summary
