species,tank,cage,individual,treatment,act.mm,head.width.mm,fish,act.avg,unique.ind,unique.cage
ensi,7,2,3,cage,53,2.538445,0,205.1764706,66,21
ensi,7,2,4,cage,355,2.225516,0,205.1764706,67,21
ensi,7,2,5,cage,62,2.068351,0,205.1764706,68,21
ensi,7,2,6,cage,358,1.783176,0,205.1764706,69,21
ensi,7,2,7,cage,83,2.482708,0,205.1764706,70,21
ensi,7,2,8,cage,93,2.280547,0,205.1764706,71,21
ensi,7,2,9,cage,240,2.471742,0,205.1764706,72,21
ensi,7,2,10,cage,245,2.216425,0,205.1764706,73,21
ensi,7,2,11,cage,32,2.233238,0,205.1764706,74,21
ensi,7,2,12,cage,222,2.137385,0,205.1764706,75,21
ensi,7,2,13,cage,231,2.119143,0,205.1764706,76,21
ensi,7,2,14,cage,324,1.708066,0,205.1764706,77,21
ensi,7,2,15,cage,422,1.909676,0,205.1764706,78,21
ensi,7,2,16,cage,353,2.206926,0,205.1764706,79,21
ensi,7,2,17,cage,108,2.107133,0,205.1764706,80,21
ensi,8,3,1,cage,321,2.828266,0,243.5625,81,22
ensi,8,3,2,cage,162,2.894274,0,243.5625,82,22
ensi,8,3,3,cage,392,2.50585,0,243.5625,83,22
ensi,8,3,4,cage,342,2.149813,0,243.5625,84,22
ensi,8,3,5,cage,27,2.535745,0,243.5625,85,22
ensi,8,3,6,cage,62,2.636788,0,243.5625,86,22
ensi,8,3,7,cage,140,2.613041,0,243.5625,87,22
ensi,8,3,8,cage,310,1.920235,0,243.5625,88,22
ensi,8,3,9,cage,348,2.362396,0,243.5625,89,22
ensi,8,3,10,cage,360,2.095376,0,243.5625,90,22
ensi,8,3,11,cage,336,1.66185,0,243.5625,91,22
ensi,8,3,12,cage,21,2.034701,0,243.5625,92,22
ensi,8,3,13,cage,312,2.688315,0,243.5625,93,22
ensi,8,3,14,cage,280,2.052631,0,243.5625,94,22
ensi,8,3,15,cage,211,2.44903,0,243.5625,95,22
ensi,8,3,16,cage,273,2.642755,0,243.5625,96,22
ensi,8,2,1,cage,41,2.296778,0,294.625,97,23
ensi,8,2,3,cage,31,2.66331,0,294.625,98,23
ensi,8,2,4,cage,390,2.212299,0,294.625,99,23
ensi,8,2,5,cage,298,2.378257,0,294.625,100,23
ensi,8,2,6,cage,76,2.605983,0,294.625,101,23
ensi,8,2,7,cage,444,1.934868,0,294.625,102,23
ensi,8,2,8,cage,267,2.378257,0,294.625,103,23
ensi,8,2,9,cage,368,2.222998,0,294.625,104,23
ensi,8,2,10,cage,366,2.027924,0,294.625,105,23
ensi,8,2,11,cage,109,2.226249,0,294.625,106,23
ensi,8,2,12,cage,435,2.206673,0,294.625,107,23
ensi,8,2,13,cage,319,2.674387,0,294.625,108,23
ensi,8,2,14,cage,377,2.65676,0,294.625,109,23
ensi,8,2,15,cage,417,2.385488,0,294.625,110,23
ensi,8,2,16,cage,348,1.66185,0,294.625,111,23
ensi,8,2,17,cage,428,2.206143,0,294.625,112,23
ensi,8,1,1,cage,260,1.848727,0,303.1428571,113,24
ensi,8,1,2,cage,343,1.950686,0,303.1428571,114,24
ensi,8,1,3,cage,372,2.198847,0,303.1428571,115,24
ensi,8,1,4,cage,264,2.661892,0,303.1428571,116,24
ensi,8,1,5,cage,52,2.629757,0,303.1428571,117,24
ensi,8,1,6,cage,285,2.236068,0,303.1428571,118,24
ensi,8,1,7,cage,313,1.993433,0,303.1428571,119,24
ensi,8,1,8,cage,456,2.409124,0,303.1428571,120,24
ensi,8,1,9,cage,289,2.488408,0,303.1428571,121,24
ensi,8,1,10,cage,268,2.43061,0,303.1428571,122,24
ensi,8,1,11,cage,417,1.919998,0,303.1428571,123,24
ensi,8,1,12,cage,210,1.944934,0,303.1428571,124,24
ensi,8,1,13,cage,460,2.305425,0,303.1428571,125,24
ensi,8,1,14,cage,255,1.680353,0,303.1428571,126,24
