,lake,species,ind.id,act.mm,head.width.mm,mean.act.mm,diff,mean.diff,N,sd,se,recov,recov.mean,fish,fish.density
52,sequoyah,ensi,14,417,2.746983,250.7368421,110,61.47368421,19,126.0746553,28.92350957,50,91.84210526,-1,0.098765432
53,sequoyah,ensi,15,159,2.211169,250.7368421,-55,61.47368421,19,126.0746553,28.92350957,126,91.84210526,-1,0.098765432
54,sequoyah,ensi,16,200,2.060237,250.7368421,-22,61.47368421,19,126.0746553,28.92350957,71,91.84210526,-1,0.098765432
55,sequoyah,ensi,17,136,2.67833,250.7368421,-225,61.47368421,19,126.0746553,28.92350957,-162,91.84210526,-1,0.098765432
56,sequoyah,ensi,18,422,2.370793,250.7368421,322,61.47368421,19,126.0746553,28.92350957,268,91.84210526,-1,0.098765432
57,sequoyah,ensi,19,322,2.59286,250.7368421,126,61.47368421,19,126.0746553,28.92350957,225,91.84210526,-1,0.098765432
58,sequoyah,ensi,20,288,2.053434,250.7368421,119,61.47368421,19,126.0746553,28.92350957,170,91.84210526,-1,0.098765432
59,fayetteville,ensi,1,376,2.304735,305.75,-9,114.25,20,138.2609565,30.91608975,-108,148.25,-1,2.518518519
60,fayetteville,ensi,2,267,2.936788,305.75,228,114.25,20,138.2609565,30.91608975,246,148.25,-1,2.518518519
61,fayetteville,ensi,3,399,2.43627,305.75,17,114.25,20,138.2609565,30.91608975,-47,148.25,-1,2.518518519
62,fayetteville,ensi,4,322,2.359646,305.75,23,114.25,20,138.2609565,30.91608975,152,148.25,-1,2.518518519
63,fayetteville,ensi,5,341,2.33931,305.75,-28,114.25,20,138.2609565,30.91608975,-75,148.25,-1,2.518518519
64,fayetteville,ensi,6,503,1.732127,305.75,155,114.25,20,138.2609565,30.91608975,-22,148.25,-1,2.518518519
65,fayetteville,ensi,7,124,2.817808,305.75,-35,114.25,20,138.2609565,30.91608975,157,148.25,-1,2.518518519
66,fayetteville,ensi,8,301,2.074876,305.75,202,114.25,20,138.2609565,30.91608975,455,148.25,-1,2.518518519
67,fayetteville,ensi,9,364,2.393202,305.75,304,114.25,20,138.2609565,30.91608975,282,148.25,-1,2.518518519
68,fayetteville,ensi,10,293,2.221793,305.75,183,114.25,20,138.2609565,30.91608975,255,148.25,-1,2.518518519
69,fayetteville,ensi,11,252,2.360666,305.75,180,114.25,20,138.2609565,30.91608975,249,148.25,-1,2.518518519
70,fayetteville,ensi,12,47,2.795233,305.75,-22,114.25,20,138.2609565,30.91608975,125,148.25,-1,2.518518519
71,fayetteville,ensi,13,245,2.656659,305.75,-37,114.25,20,138.2609565,30.91608975,176,148.25,-1,2.518518519
72,fayetteville,ensi,14,415,2.566267,305.75,261,114.25,20,138.2609565,30.91608975,140,148.25,-1,2.518518519
73,fayetteville,ensi,15,233,1.896228,305.75,-130,114.25,20,138.2609565,30.91608975,-98,148.25,-1,2.518518519
74,fayetteville,ensi,16,345,2.486036,305.75,145,114.25,20,138.2609565,30.91608975,149,148.25,-1,2.518518519
75,fayetteville,ensi,17,227,2.78543,305.75,143,114.25,20,138.2609565,30.91608975,296,148.25,-1,2.518518519
76,fayetteville,ensi,18,204,3.280343,305.75,112,114.25,20,138.2609565,30.91608975,192,148.25,-1,2.518518519
77,fayetteville,ensi,19,484,1.873267,305.75,418,114.25,20,138.2609565,30.91608975,294,148.25,-1,2.518518519
78,fayetteville,ensi,20,373,2.452386,305.75,175,114.25,20,138.2609565,30.91608975,147,148.25,-1,2.518518519
79,bobkidd,ensi,1,153,3.075591,252.4210526,1,42,19,98.82869579,22.67285777,27,116.9473684,-1,1.382716049
80,bobkidd,ensi,2,397,3.207167,252.4210526,-37,42,19,98.82869579,22.67285777,83,116.9473684,-1,1.382716049
81,bobkidd,ensi,3,113,3.004781,252.4210526,17,42,19,98.82869579,22.67285777,6,116.9473684,-1,1.382716049
82,bobkidd,ensi,4,261,2.100755,252.4210526,-35,42,19,98.82869579,22.67285777,126,116.9473684,-1,1.382716049
83,bobkidd,ensi,5,328,1.978442,252.4210526,51,42,19,98.82869579,22.67285777,124,116.9473684,-1,1.382716049
84,bobkidd,ensi,6,265,3.024754,252.4210526,-139,42,19,98.82869579,22.67285777,121,116.9473684,-1,1.382716049
85,bobkidd,ensi,8,58,2.567165,252.4210526,-41,42,19,98.82869579,22.67285777,12,116.9473684,-1,1.382716049
86,bobkidd,ensi,9,315,2.793063,252.4210526,181,42,19,98.82869579,22.67285777,183,116.9473684,-1,1.382716049
87,bobkidd,ensi,10,417,3.257243,252.4210526,-29,42,19,98.82869579,22.67285777,-142,116.9473684,-1,1.382716049
88,bobkidd,ensi,11,219,2.492674,252.4210526,183,42,19,98.82869579,22.67285777,394,116.9473684,-1,1.382716049
89,bobkidd,ensi,12,196,2.442463,252.4210526,-86,42,19,98.82869579,22.67285777,147,116.9473684,-1,1.382716049
90,bobkidd,ensi,13,341,2.358163,252.4210526,-16,42,19,98.82869579,22.67285777,156,116.9473684,-1,1.382716049
91,bobkidd,ensi,14,207,2.970993,252.4210526,137,42,19,98.82869579,22.67285777,220,116.9473684,-1,1.382716049
92,bobkidd,ensi,15,267,2.977688,252.4210526,189,42,19,98.82869579,22.67285777,140,116.9473684,-1,1.382716049
93,bobkidd,ensi,16,197,2.345462,252.4210526,32,42,19,98.82869579,22.67285777,62,116.9473684,-1,1.382716049
94,bobkidd,ensi,17,146,2.975751,252.4210526,78,42,19,98.82869579,22.67285777,250,116.9473684,-1,1.382716049
95,bobkidd,ensi,18,398,2.927561,252.4210526,176,42,19,98.82869579,22.67285777,132,116.9473684,-1,1.382716049
96,bobkidd,ensi,19,283,3.00895,252.4210526,12,42,19,98.82869579,22.67285777,69,116.9473684,-1,1.382716049
97,bobkidd,ensi,20,235,3.158317,252.4210526,124,42,19,98.82869579,22.67285777,112,116.9473684,-1,1.382716049
98,siloam,ensi,1,281,2.547095,304.4,216,50.1,20,138.5495921,30.98063062,245,25.8,-1,0.345679012
99,siloam,ensi,2,450,3.421429,304.4,389,50.1,20,138.5495921,30.98063062,244,25.8,-1,0.345679012
100,siloam,ensi,3,376,2.130388,304.4,-20,50.1,20,138.5495921,30.98063062,-203,25.8,-1,0.345679012
101,siloam,ensi,4,432,2.465712,304.4,164,50.1,20,138.5495921,30.98063062,142,25.8,-1,0.345679012
102,siloam,ensi,5,361,2.588057,304.4,287,50.1,20,138.5495921,30.98063062,307,25.8,-1,0.345679012
103,siloam,ensi,6,248,3.17766,304.4,-120,50.1,20,138.5495921,30.98063062,50,25.8,-1,0.345679012
104,siloam,ensi,7,286,2.332203,304.4,-52,50.1,20,138.5495921,30.98063062,-134,25.8,-1,0.345679012
105,siloam,ensi,8,314,2.18401,304.4,-19,50.1,20,138.5495921,30.98063062,-146,25.8,-1,0.345679012
106,siloam,ensi,9,319,3.077696,304.4,40,50.1,20,138.5495921,30.98063062,-45,25.8,-1,0.345679012
107,siloam,ensi,10,143,2.961677,304.4,55,50.1,20,138.5495921,30.98063062,111,25.8,-1,0.345679012
108,siloam,ensi,11,379,2.757485,304.4,84,50.1,20,138.5495921,30.98063062,-182,25.8,-1,0.345679012
109,siloam,ensi,12,306,2.718625,304.4,193,50.1,20,138.5495921,30.98063062,172,25.8,-1,0.345679012
110,siloam,ensi,13,185,2.492402,304.4,-115,50.1,20,138.5495921,30.98063062,69,25.8,-1,0.345679012
111,siloam,ensi,14,331,2.50154,304.4,-104,50.1,20,138.5495921,30.98063062,-98,25.8,-1,0.345679012
112,siloam,ensi,15,66,2.195495,304.4,-67,50.1,20,138.5495921,30.98063062,8,25.8,-1,0.345679012
113,siloam,ensi,16,330,2.769907,304.4,2,50.1,20,138.5495921,30.98063062,42,25.8,-1,0.345679012
114,siloam,ensi,17,298,2.415642,304.4,0,50.1,20,138.5495921,30.98063062,-46,25.8,-1,0.345679012
115,siloam,ensi,18,271,1.917371,304.4,102,50.1,20,138.5495921,30.98063062,-93,25.8,-1,0.345679012
116,siloam,ensi,19,339,2.419017,304.4,-43,50.1,20,138.5495921,30.98063062,-41,25.8,-1,0.345679012
117,siloam,ensi,20,373,2.803281,304.4,10,50.1,20,138.5495921,30.98063062,114,25.8,-1,0.345679012
118,prairiegrove,ensi,1,361,2.420978,326.2631579,38,41.42105263,19,80.88353478,18.55595549,75,-6.263157895,-1,0.592592593
119,prairiegrove,ensi,2,328,2.811272,326.2631579,-6,41.42105263,19,80.88353478,18.55595549,-28,-6.263157895,-1,0.592592593
120,prairiegrove,ensi,3,228,1.837061,326.2631579,-67,41.42105263,19,80.88353478,18.55595549,-141,-6.263157895,-1,0.592592593
121,prairiegrove,ensi,4,196,2.878855,326.2631579,-19,41.42105263,19,80.88353478,18.55595549,-51,-6.263157895,-1,0.592592593
122,prairiegrove,ensi,5,301,2.96826,326.2631579,105,41.42105263,19,80.88353478,18.55595549,-45,-6.263157895,-1,0.592592593
123,prairiegrove,ensi,6,302,2.895606,326.2631579,26,41.42105263,19,80.88353478,18.55595549,-56,-6.263157895,-1,0.592592593
124,prairiegrove,ensi,7,457,2.064053,326.2631579,50,41.42105263,19,80.88353478,18.55595549,-191,-6.263157895,-1,0.592592593
125,prairiegrove,ensi,8,332,1.852544,326.2631579,-55,41.42105263,19,80.88353478,18.55595549,-25,-6.263157895,-1,0.592592593
126,prairiegrove,ensi,9,372,2.516781,326.2631579,47,41.42105263,19,80.88353478,18.55595549,59,-6.263157895,-1,0.592592593
127,prairiegrove,ensi,10,255,2.593612,326.2631579,130,41.42105263,19,80.88353478,18.55595549,229,-6.263157895,-1,0.592592593
128,prairiegrove,ensi,11,480,2.340859,326.2631579,131,41.42105263,19,80.88353478,18.55595549,-16,-6.263157895,-1,0.592592593
129,prairiegrove,ensi,12,325,2.964486,326.2631579,-46,41.42105263,19,80.88353478,18.55595549,-82,-6.263157895,-1,0.592592593
130,prairiegrove,ensi,13,173,3.0436,326.2631579,38,41.42105263,19,80.88353478,18.55595549,74,-6.263157895,-1,0.592592593
131,prairiegrove,ensi,14,365,3.0761,326.2631579,136,41.42105263,19,80.88353478,18.55595549,3,-6.263157895,-1,0.592592593
132,prairiegrove,ensi,15,365,1.864827,326.2631579,-68,41.42105263,19,80.88353478,18.55595549,-186,-6.263157895,-1,0.592592593
133,prairiegrove,ensi,17,298,2.3933,326.2631579,-15,41.42105263,19,80.88353478,18.55595549,-51,-6.263157895,-1,0.592592593
134,prairiegrove,ensi,18,375,2.600464,326.2631579,91,41.42105263,19,80.88353478,18.55595549,120,-6.263157895,-1,0.592592593
135,prairiegrove,ensi,19,395,1.74503,326.2631579,232,41.42105263,19,80.88353478,18.55595549,173,-6.263157895,-1,0.592592593
136,prairiegrove,ensi,20,291,2.504286,326.2631579,39,41.42105263,19,80.88353478,18.55595549,20,-6.263157895,-1,0.592592593
137,lincoln,ensi,1,202,0,223.75,-12,5.2,20,98.12054884,21.94042172,153,72.65,0,0.987654321
138,lincoln,ensi,2,432,0,223.75,-161,5.2,20,98.12054884,21.94042172,-43,72.65,0,0.987654321
139,lincoln,ensi,3,160,0,223.75,-113,5.2,20,98.12054884,21.94042172,57,72.65,0,0.987654321
140,lincoln,ensi,4,236,0,223.75,57,5.2,20,98.12054884,21.94042172,157,72.65,0,0.987654321
141,lincoln,ensi,5,285,0,223.75,-5,5.2,20,98.12054884,21.94042172,-74,72.65,0,0.987654321
142,lincoln,ensi,6,442,0,223.75,-193,5.2,20,98.12054884,21.94042172,-233,72.65,0,0.987654321
143,lincoln,ensi,7,95,0,223.75,154,5.2,20,98.12054884,21.94042172,99,72.65,0,0.987654321
